GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,elimFisher,topgoFisher,parentchildFisher
GO:0006351,transcription, DNA-templated,562,7,4.32,70,0.13765,0.13765,1.00000,0.0355
GO:0006464,cellular protein modification process,868,12,6.67,28,0.02995,0.92184,1.00000,0.0492
GO:0006497,protein lipidation,16,1,0.12,62,0.11622,0.11622,1.00000,0.2012
GO:0006505,GPI anchor metabolic process,15,1,0.12,59,0.10936,0.10936,1.00000,0.3125
GO:0006506,GPI anchor biosynthetic process,15,1,0.12,60,0.10936,0.10936,1.00000,0.5000
GO:0006643,membrane lipid metabolic process,38,1,0.29,107,0.25461,0.25461,1.00000,0.2992
GO:0006644,phospholipid metabolic process,75,1,0.58,141,0.44089,0.44089,1.00000,0.6858
GO:0006650,glycerophospholipid metabolic process,38,1,0.29,108,0.25461,0.25461,1.00000,0.4810
GO:0006661,phosphatidylinositol biosynthetic proces...,15,1,0.12,61,0.10936,0.10936,1.00000,0.3947
GO:0006664,glycolipid metabolic process,30,1,0.23,90,0.20694,0.20694,1.00000,0.7895
GO:0006725,cellular aromatic compound metabolic pro...,1258,9,9.67,164,0.64765,0.75529,1.00000,0.7343
GO:0006793,phosphorus metabolic process,779,12,5.99,21,0.01381,0.85409,1.00000,0.0069
GO:0006796,phosphate-containing compound metabolic ...,767,12,5.89,20,0.01230,0.84138,1.00000,0.8289
GO:0006807,nitrogen compound metabolic process,1591,11,12.23,170,0.70380,0.79029,1.00000,0.7412
GO:0006950,response to stress,280,1,2.15,183,0.88930,0.88930,1.00000,0.9341
GO:0006974,cellular response to DNA damage stimulus,152,1,1.17,168,0.69408,0.69408,1.00000,0.7835
GO:0007049,cell cycle,157,2,1.21,127,0.34073,0.69731,1.00000,0.3147
