Group	Genes	Taxa	IDs
ORTHOMCL5291	11	1	pdam_00025405-RA(PocilloporaDamicornis) pdam_00025363-RA(PocilloporaDamicornis) pdam_00025874-RA(PocilloporaDamicornis) pdam_00025420-RA(PocilloporaDamicornis) pdam_00023978-RA(PocilloporaDamicornis) pdam_00025880-RA(PocilloporaDamicornis) pdam_00025677-RA(PocilloporaDamicornis) pdam_00023977-RA(PocilloporaDamicornis) pdam_00025760-RA(PocilloporaDamicornis) pdam_00025716-RA(PocilloporaDamicornis) pdam_00025267-RA(PocilloporaDamicornis)
ORTHOMCL5292	11	1	pdam_00009965-RA(PocilloporaDamicornis) pdam_00017603-RA(PocilloporaDamicornis) pdam_00021074-RA(PocilloporaDamicornis) pdam_00001000-RA(PocilloporaDamicornis) pdam_00006452-RA(PocilloporaDamicornis) pdam_00010622-RA(PocilloporaDamicornis) pdam_00013405-RA(PocilloporaDamicornis) pdam_00010464-RA(PocilloporaDamicornis) pdam_00016722-RA(PocilloporaDamicornis) pdam_00011898-RA(PocilloporaDamicornis) pdam_00021071-RA(PocilloporaDamicornis)
ORTHOMCL5293	11	1	pdam_00018341-RA(PocilloporaDamicornis) pdam_00016667-RA(PocilloporaDamicornis) pdam_00025618-RA(PocilloporaDamicornis) pdam_00006863-RA(PocilloporaDamicornis) pdam_00018828-RA(PocilloporaDamicornis) pdam_00025782-RA(PocilloporaDamicornis) pdam_00009932-RA(PocilloporaDamicornis) pdam_00022193-RA(PocilloporaDamicornis) pdam_00018342-RA(PocilloporaDamicornis) pdam_00025818-RA(PocilloporaDamicornis) pdam_00016668-RA(PocilloporaDamicornis)
ORTHOMCL6358	10	1	pdam_00020936-RA(PocilloporaDamicornis) pdam_00012381-RA(PocilloporaDamicornis) pdam_00008838-RA(PocilloporaDamicornis) pdam_00020172-RA(PocilloporaDamicornis) pdam_00024488-RA(PocilloporaDamicornis) pdam_00024489-RA(PocilloporaDamicornis) pdam_00018482-RA(PocilloporaDamicornis) pdam_00023081-RA(PocilloporaDamicornis) pdam_00008846-RA(PocilloporaDamicornis) pdam_00020937-RA(PocilloporaDamicornis)
ORTHOMCL6359	10	1	pdam_00013089-RA(PocilloporaDamicornis) pdam_00025301-RA(PocilloporaDamicornis) pdam_00018078-RA(PocilloporaDamicornis) pdam_00019591-RA(PocilloporaDamicornis) pdam_00018077-RA(PocilloporaDamicornis) pdam_00006709-RA(PocilloporaDamicornis) pdam_00021115-RA(PocilloporaDamicornis) pdam_00018076-RA(PocilloporaDamicornis) pdam_00005109-RA(PocilloporaDamicornis) pdam_00006710-RA(PocilloporaDamicornis)
ORTHOMCL6360	10	1	pdam_00006759-RA(PocilloporaDamicornis) pdam_00006757-RA(PocilloporaDamicornis) pdam_00006761-RA(PocilloporaDamicornis) pdam_00006760-RA(PocilloporaDamicornis) pdam_00006764-RA(PocilloporaDamicornis) pdam_00006756-RA(PocilloporaDamicornis) pdam_00006754-RA(PocilloporaDamicornis) pdam_00006765-RA(PocilloporaDamicornis) pdam_00006758-RA(PocilloporaDamicornis) pdam_00006766-RA(PocilloporaDamicornis)
ORTHOMCL7546	9	1	pdam_00021258-RA(PocilloporaDamicornis) pdam_00007108-RA(PocilloporaDamicornis) pdam_00007106-RA(PocilloporaDamicornis) pdam_00021256-RA(PocilloporaDamicornis) pdam_00007107-RA(PocilloporaDamicornis) pdam_00021253-RA(PocilloporaDamicornis) pdam_00021254-RA(PocilloporaDamicornis) pdam_00021255-RA(PocilloporaDamicornis) pdam_00024860-RA(PocilloporaDamicornis)
ORTHOMCL7547	9	1	pdam_00024317-RA(PocilloporaDamicornis) pdam_00007582-RA(PocilloporaDamicornis) pdam_00017508-RA(PocilloporaDamicornis) pdam_00000209-RA(PocilloporaDamicornis) pdam_00017507-RA(PocilloporaDamicornis) pdam_00007581-RA(PocilloporaDamicornis) pdam_00020015-RA(PocilloporaDamicornis) pdam_00003844-RA(PocilloporaDamicornis) pdam_00023749-RA(PocilloporaDamicornis)
ORTHOMCL7548	9	1	pdam_00006059-RA(PocilloporaDamicornis) pdam_00022999-RA(PocilloporaDamicornis) pdam_00010280-RA(PocilloporaDamicornis) pdam_00022490-RA(PocilloporaDamicornis) pdam_00014647-RA(PocilloporaDamicornis) pdam_00022491-RA(PocilloporaDamicornis) pdam_00024150-RA(PocilloporaDamicornis) pdam_00024352-RA(PocilloporaDamicornis) pdam_00019988-RA(PocilloporaDamicornis)
ORTHOMCL7549	9	1	pdam_00025303-RA(PocilloporaDamicornis) pdam_00026018-RA(PocilloporaDamicornis) pdam_00022532-RA(PocilloporaDamicornis) pdam_00023505-RA(PocilloporaDamicornis) pdam_00025592-RA(PocilloporaDamicornis) pdam_00022260-RA(PocilloporaDamicornis) pdam_00025517-RA(PocilloporaDamicornis) pdam_00022533-RA(PocilloporaDamicornis) pdam_00022539-RA(PocilloporaDamicornis)
ORTHOMCL7550	9	1	pdam_00024908-RA(PocilloporaDamicornis) pdam_00016468-RA(PocilloporaDamicornis) pdam_00025725-RA(PocilloporaDamicornis) pdam_00016463-RA(PocilloporaDamicornis) pdam_00016464-RA(PocilloporaDamicornis) pdam_00016467-RA(PocilloporaDamicornis) pdam_00016460-RA(PocilloporaDamicornis) pdam_00016466-RA(PocilloporaDamicornis) pdam_00003165-RA(PocilloporaDamicornis)
ORTHOMCL8762	8	1	pdam_00019245-RA(PocilloporaDamicornis) pdam_00014880-RA(PocilloporaDamicornis) pdam_00007940-RA(PocilloporaDamicornis) pdam_00001716-RA(PocilloporaDamicornis) pdam_00010799-RA(PocilloporaDamicornis) pdam_00020435-RA(PocilloporaDamicornis) pdam_00004342-RA(PocilloporaDamicornis) pdam_00004194-RA(PocilloporaDamicornis)
ORTHOMCL8763	8	1	pdam_00015346-RA(PocilloporaDamicornis) pdam_00016645-RA(PocilloporaDamicornis) pdam_00015340-RA(PocilloporaDamicornis) pdam_00015360-RA(PocilloporaDamicornis) pdam_00015350-RA(PocilloporaDamicornis) pdam_00015338-RA(PocilloporaDamicornis) pdam_00020480-RA(PocilloporaDamicornis) pdam_00020479-RA(PocilloporaDamicornis)
ORTHOMCL8764	8	1	pdam_00025537-RA(PocilloporaDamicornis) pdam_00025645-RA(PocilloporaDamicornis) pdam_00025741-RA(PocilloporaDamicornis) pdam_00025644-RA(PocilloporaDamicornis) pdam_00025783-RA(PocilloporaDamicornis) pdam_00024612-RA(PocilloporaDamicornis) pdam_00023954-RA(PocilloporaDamicornis) pdam_00025870-RA(PocilloporaDamicornis)
ORTHOMCL8765	8	1	pdam_00022424-RA(PocilloporaDamicornis) pdam_00022426-RA(PocilloporaDamicornis) pdam_00010264-RA(PocilloporaDamicornis) pdam_00017467-RA(PocilloporaDamicornis) pdam_00010268-RA(PocilloporaDamicornis) pdam_00018707-RA(PocilloporaDamicornis) pdam_00022422-RA(PocilloporaDamicornis) pdam_00022423-RA(PocilloporaDamicornis)
ORTHOMCL8766	8	1	pdam_00023911-RA(PocilloporaDamicornis) pdam_00009185-RA(PocilloporaDamicornis) pdam_00009188-RA(PocilloporaDamicornis) pdam_00009408-RA(PocilloporaDamicornis) pdam_00009193-RA(PocilloporaDamicornis) pdam_00009195-RA(PocilloporaDamicornis) pdam_00009178-RA(PocilloporaDamicornis) pdam_00009186-RA(PocilloporaDamicornis)
ORTHOMCL8767	8	1	pdam_00001818-RA(PocilloporaDamicornis) pdam_00009747-RA(PocilloporaDamicornis) pdam_00020158-RA(PocilloporaDamicornis) pdam_00014096-RA(PocilloporaDamicornis) pdam_00019208-RA(PocilloporaDamicornis) pdam_00020162-RA(PocilloporaDamicornis) pdam_00020163-RA(PocilloporaDamicornis) pdam_00022314-RA(PocilloporaDamicornis)
ORTHOMCL8768	8	1	pdam_00009893-RA(PocilloporaDamicornis) pdam_00010832-RA(PocilloporaDamicornis) pdam_00002401-RA(PocilloporaDamicornis) pdam_00002682-RA(PocilloporaDamicornis) pdam_00011445-RA(PocilloporaDamicornis) pdam_00015641-RA(PocilloporaDamicornis) pdam_00011444-RA(PocilloporaDamicornis) pdam_00021849-RA(PocilloporaDamicornis)
ORTHOMCL8769	8	1	pdam_00000239-RA(PocilloporaDamicornis) pdam_00001371-RA(PocilloporaDamicornis) pdam_00008015-RA(PocilloporaDamicornis) pdam_00010101-RA(PocilloporaDamicornis) pdam_00004460-RA(PocilloporaDamicornis) pdam_00008014-RA(PocilloporaDamicornis) pdam_00005747-RA(PocilloporaDamicornis) pdam_00004454-RA(PocilloporaDamicornis)
ORTHOMCL8770	8	1	pdam_00024848-RA(PocilloporaDamicornis) pdam_00021494-RA(PocilloporaDamicornis) pdam_00021495-RA(PocilloporaDamicornis) pdam_00021493-RA(PocilloporaDamicornis) pdam_00024211-RA(PocilloporaDamicornis) pdam_00003736-RA(PocilloporaDamicornis) pdam_00003737-RA(PocilloporaDamicornis) pdam_00003735-RA(PocilloporaDamicornis)
ORTHOMCL8771	8	1	pdam_00025445-RA(PocilloporaDamicornis) pdam_00002949-RA(PocilloporaDamicornis) pdam_00012329-RA(PocilloporaDamicornis) pdam_00025949-RA(PocilloporaDamicornis) pdam_00025804-RA(PocilloporaDamicornis) pdam_00018290-RA(PocilloporaDamicornis) pdam_00015463-RA(PocilloporaDamicornis) pdam_00012330-RA(PocilloporaDamicornis)
ORTHOMCL8772	8	1	pdam_00015114-RA(PocilloporaDamicornis) pdam_00015096-RA(PocilloporaDamicornis) pdam_00015106-RA(PocilloporaDamicornis) pdam_00015093-RA(PocilloporaDamicornis) pdam_00015105-RA(PocilloporaDamicornis) pdam_00015648-RA(PocilloporaDamicornis) pdam_00015108-RA(PocilloporaDamicornis) pdam_00015094-RA(PocilloporaDamicornis)
ORTHOMCL10049	7	1	pdam_00013091-RA(PocilloporaDamicornis) pdam_00013088-RA(PocilloporaDamicornis) pdam_00013086-RA(PocilloporaDamicornis) pdam_00010602-RA(PocilloporaDamicornis) pdam_00025624-RA(PocilloporaDamicornis) pdam_00025965-RA(PocilloporaDamicornis) pdam_00002650-RA(PocilloporaDamicornis)
ORTHOMCL10050	7	1	pdam_00024611-RA(PocilloporaDamicornis) pdam_00025825-RA(PocilloporaDamicornis) pdam_00011558-RA(PocilloporaDamicornis) pdam_00025920-RA(PocilloporaDamicornis) pdam_00025904-RA(PocilloporaDamicornis) pdam_00025905-RA(PocilloporaDamicornis) pdam_00024268-RA(PocilloporaDamicornis)
ORTHOMCL10051	7	1	pdam_00005084-RA(PocilloporaDamicornis) pdam_00005083-RA(PocilloporaDamicornis) pdam_00019553-RA(PocilloporaDamicornis) pdam_00019551-RA(PocilloporaDamicornis) pdam_00004095-RA(PocilloporaDamicornis) pdam_00005077-RA(PocilloporaDamicornis) pdam_00019552-RA(PocilloporaDamicornis)
ORTHOMCL10052	7	1	pdam_00009264-RA(PocilloporaDamicornis) pdam_00022321-RA(PocilloporaDamicornis) pdam_00022317-RA(PocilloporaDamicornis) pdam_00022318-RA(PocilloporaDamicornis) pdam_00022319-RA(PocilloporaDamicornis) pdam_00022316-RA(PocilloporaDamicornis) pdam_00022320-RA(PocilloporaDamicornis)
ORTHOMCL10053	7	1	pdam_00017880-RA(PocilloporaDamicornis) pdam_00023296-RA(PocilloporaDamicornis) pdam_00019347-RA(PocilloporaDamicornis) pdam_00024659-RA(PocilloporaDamicornis) pdam_00005464-RA(PocilloporaDamicornis) pdam_00025520-RA(PocilloporaDamicornis) pdam_00011146-RA(PocilloporaDamicornis)
ORTHOMCL10054	7	1	pdam_00006794-RA(PocilloporaDamicornis) pdam_00006107-RA(PocilloporaDamicornis) pdam_00002635-RA(PocilloporaDamicornis) pdam_00007481-RA(PocilloporaDamicornis) pdam_00003311-RA(PocilloporaDamicornis) pdam_00022791-RA(PocilloporaDamicornis) pdam_00007482-RA(PocilloporaDamicornis)
ORTHOMCL10055	7	1	pdam_00015662-RA(PocilloporaDamicornis) pdam_00015664-RA(PocilloporaDamicornis) pdam_00015665-RA(PocilloporaDamicornis) pdam_00015666-RA(PocilloporaDamicornis) pdam_00015663-RA(PocilloporaDamicornis) pdam_00024523-RA(PocilloporaDamicornis) pdam_00022273-RA(PocilloporaDamicornis)
ORTHOMCL10056	7	1	pdam_00015109-RA(PocilloporaDamicornis) pdam_00015103-RA(PocilloporaDamicornis) pdam_00015649-RA(PocilloporaDamicornis) pdam_00015647-RA(PocilloporaDamicornis) pdam_00015113-RA(PocilloporaDamicornis) pdam_00015112-RA(PocilloporaDamicornis) pdam_00015115-RA(PocilloporaDamicornis)
ORTHOMCL10057	7	1	pdam_00007370-RA(PocilloporaDamicornis) pdam_00007372-RA(PocilloporaDamicornis) pdam_00007369-RA(PocilloporaDamicornis) pdam_00007378-RA(PocilloporaDamicornis) pdam_00007380-RA(PocilloporaDamicornis) pdam_00007371-RA(PocilloporaDamicornis) pdam_00007368-RA(PocilloporaDamicornis)
ORTHOMCL10058	7	1	pdam_00024874-RA(PocilloporaDamicornis) pdam_00020510-RA(PocilloporaDamicornis) pdam_00016935-RA(PocilloporaDamicornis) pdam_00012084-RA(PocilloporaDamicornis) pdam_00012279-RA(PocilloporaDamicornis) pdam_00021889-RA(PocilloporaDamicornis) pdam_00015629-RA(PocilloporaDamicornis)
ORTHOMCL10059	7	1	pdam_00021626-RA(PocilloporaDamicornis) pdam_00021622-RA(PocilloporaDamicornis) pdam_00010449-RA(PocilloporaDamicornis) pdam_00021619-RA(PocilloporaDamicornis) pdam_00021617-RA(PocilloporaDamicornis) pdam_00021625-RA(PocilloporaDamicornis) pdam_00021621-RA(PocilloporaDamicornis)
ORTHOMCL10060	7	1	pdam_00000090-RA(PocilloporaDamicornis) pdam_00016669-RA(PocilloporaDamicornis) pdam_00025817-RA(PocilloporaDamicornis) pdam_00025775-RA(PocilloporaDamicornis) pdam_00025123-RA(PocilloporaDamicornis) pdam_00025617-RA(PocilloporaDamicornis) pdam_00018829-RA(PocilloporaDamicornis)
ORTHOMCL11363	6	1	pdam_00015888-RA(PocilloporaDamicornis) pdam_00015878-RA(PocilloporaDamicornis) pdam_00015881-RA(PocilloporaDamicornis) pdam_00015879-RA(PocilloporaDamicornis) pdam_00015880-RA(PocilloporaDamicornis) pdam_00023326-RA(PocilloporaDamicornis)
ORTHOMCL11364	6	1	pdam_00014805-RA(PocilloporaDamicornis) pdam_00002891-RA(PocilloporaDamicornis) pdam_00009765-RA(PocilloporaDamicornis) pdam_00025072-RA(PocilloporaDamicornis) pdam_00014079-RA(PocilloporaDamicornis) pdam_00021450-RA(PocilloporaDamicornis)
ORTHOMCL11365	6	1	pdam_00014834-RA(PocilloporaDamicornis) pdam_00018032-RA(PocilloporaDamicornis) pdam_00007041-RA(PocilloporaDamicornis) pdam_00006979-RA(PocilloporaDamicornis) pdam_00009795-RA(PocilloporaDamicornis) pdam_00025182-RA(PocilloporaDamicornis)
ORTHOMCL11366	6	1	pdam_00022940-RA(PocilloporaDamicornis) pdam_00007243-RA(PocilloporaDamicornis) pdam_00014488-RA(PocilloporaDamicornis) pdam_00020356-RA(PocilloporaDamicornis) pdam_00021318-RA(PocilloporaDamicornis) pdam_00022845-RA(PocilloporaDamicornis)
ORTHOMCL11367	6	1	pdam_00024358-RA(PocilloporaDamicornis) pdam_00022527-RA(PocilloporaDamicornis) pdam_00000488-RA(PocilloporaDamicornis) pdam_00025675-RA(PocilloporaDamicornis) pdam_00025837-RA(PocilloporaDamicornis) pdam_00022535-RA(PocilloporaDamicornis)
ORTHOMCL11368	6	1	pdam_00022757-RA(PocilloporaDamicornis) pdam_00025287-RA(PocilloporaDamicornis) pdam_00015110-RA(PocilloporaDamicornis) pdam_00008966-RA(PocilloporaDamicornis) pdam_00007362-RA(PocilloporaDamicornis) pdam_00004302-RA(PocilloporaDamicornis)
ORTHOMCL11369	6	1	pdam_00014850-RA(PocilloporaDamicornis) pdam_00018142-RA(PocilloporaDamicornis) pdam_00024200-RA(PocilloporaDamicornis) pdam_00024190-RA(PocilloporaDamicornis) pdam_00019279-RA(PocilloporaDamicornis) pdam_00024292-RA(PocilloporaDamicornis)
ORTHOMCL11370	6	1	pdam_00005218-RA(PocilloporaDamicornis) pdam_00024994-RA(PocilloporaDamicornis) pdam_00004951-RA(PocilloporaDamicornis) pdam_00013609-RA(PocilloporaDamicornis) pdam_00005216-RA(PocilloporaDamicornis) pdam_00005215-RA(PocilloporaDamicornis)
ORTHOMCL11371	6	1	pdam_00007104-RA(PocilloporaDamicornis) pdam_00024897-RA(PocilloporaDamicornis) pdam_00022898-RA(PocilloporaDamicornis) pdam_00022689-RA(PocilloporaDamicornis) pdam_00025542-RA(PocilloporaDamicornis) pdam_00024898-RA(PocilloporaDamicornis)
ORTHOMCL11372	6	1	pdam_00008341-RA(PocilloporaDamicornis) pdam_00004197-RA(PocilloporaDamicornis) pdam_00016785-RA(PocilloporaDamicornis) pdam_00016802-RA(PocilloporaDamicornis) pdam_00016801-RA(PocilloporaDamicornis) pdam_00016788-RA(PocilloporaDamicornis)
ORTHOMCL11373	6	1	pdam_00013665-RA(PocilloporaDamicornis) pdam_00013659-RA(PocilloporaDamicornis) pdam_00013661-RA(PocilloporaDamicornis) pdam_00013663-RA(PocilloporaDamicornis) pdam_00013655-RA(PocilloporaDamicornis) pdam_00013657-RA(PocilloporaDamicornis)
ORTHOMCL11374	6	1	pdam_00017045-RA(PocilloporaDamicornis) pdam_00013977-RA(PocilloporaDamicornis) pdam_00005420-RA(PocilloporaDamicornis) pdam_00023714-RA(PocilloporaDamicornis) pdam_00023713-RA(PocilloporaDamicornis) pdam_00024970-RA(PocilloporaDamicornis)
ORTHOMCL11375	6	1	pdam_00019236-RA(PocilloporaDamicornis) pdam_00023167-RA(PocilloporaDamicornis) pdam_00024378-RA(PocilloporaDamicornis) pdam_00024379-RA(PocilloporaDamicornis) pdam_00021769-RA(PocilloporaDamicornis) pdam_00024380-RA(PocilloporaDamicornis)
