GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,elimFisher,topgoFisher,parentchildFisher
GO:0006289,nucleotide-excision repair,13,1,1.56,387,0.8109,0.8109,0.8109,0.28475
GO:0015986,ATP synthesis coupled proton transport,13,1,1.56,388,0.8109,0.8109,0.8109,1.00000
GO:0006807,nitrogen compound metabolic process,1591,58,191.18,653,1.0000,1.0000,0.8158,1.00000
GO:0042157,lipoprotein metabolic process,26,2,3.12,403,0.8373,0.8373,0.8373,0.66897
GO:0035023,regulation of Rho protein signal transdu...,37,3,4.45,404,0.8387,0.8387,0.8387,0.51186
GO:0055085,transmembrane transport,578,58,69.45,482,0.9469,0.9469,0.8487,0.99998
GO:0006955,immune response,34,3,4.09,378,0.7933,0.7933,0.8526,0.99065
GO:0071805,potassium ion transmembrane transport,27,2,3.24,408,0.8526,0.8526,0.8526,0.77495
GO:0000413,protein peptidyl-prolyl isomerization,15,1,1.8,410,0.8537,0.8537,0.8537,1.00000
GO:0009058,biosynthetic process,1226,40,147.32,654,1.0000,1.0000,0.8705,1.00000
GO:0015696,ammonium transport,16,1,1.92,423,0.8713,0.8713,0.8713,0.74042
GO:0009116,nucleoside metabolic process,75,5,9.01,492,0.9563,0.9563,0.8877,0.33681
GO:0007156,homophilic cell adhesion via plasma memb...,31,2,3.73,441,0.9016,0.9016,0.9016,1.00000
GO:0046034,ATP metabolic process,32,2,3.85,447,0.9112,0.9112,0.9126,0.60386
GO:0044237,cellular metabolic process,2659,163,319.52,655,1.0000,1.0000,0.9287,1.00000
GO:0006915,apoptotic process,119,15,14.3,266,0.4634,0.4634,0.9318,0.87500
GO:0055114,oxidation-reduction process,562,57,67.53,476,0.9341,0.9341,0.9341,0.00983
GO:0006334,nucleosome assembly,22,1,2.64,478,0.9404,0.9404,0.9404,0.64007
GO:0006812,cation transport,305,28,36.65,491,0.9541,0.9541,0.9419,0.27228
GO:0009190,cyclic nucleotide biosynthetic process,25,1,3,495,0.9595,0.9595,0.9595,0.53006
GO:0006810,transport,1202,99,144.44,622,1.0000,1.0000,0.9599,0.59800
GO:0009966,regulation of signal transduction,126,16,15.14,258,0.4472,0.9802,0.9639,0.99979
GO:0006352,DNA-templated transcription initiation,26,1,3.12,499,0.9644,0.9644,0.9644,0.40781
GO:0006418,tRNA aminoacylation for protein translat...,26,1,3.12,500,0.9644,0.9644,0.9644,0.69504
GO:0051260,protein homooligomerization,66,4,7.93,503,0.9649,0.9649,0.9649,0.88499
GO:0051301,cell division,28,1,3.36,517,0.9724,0.9724,0.9724,0.99302
GO:0019752,carboxylic acid metabolic process,187,11,22.47,570,0.9985,0.9985,0.9736,0.88669
GO:0006486,protein glycosylation,70,4,8.41,519,0.9755,0.9755,0.9755,0.99678
GO:0005975,carbohydrate metabolic process,260,16,31.24,584,0.9995,0.9995,0.9776,0.57156
GO:0016567,protein ubiquitination,59,3,7.09,524,0.9789,0.9789,0.9789,0.85957
GO:0006470,protein dephosphorylation,65,3,7.81,536,0.9884,0.9884,0.9884,0.94749
GO:0007017,microtubule-based process,146,5,17.54,603,0.9999,0.9999,0.9935,1.00000
GO:0008610,lipid biosynthetic process,76,4,9.13,534,0.9859,0.9859,0.9942,0.24094
GO:0006811,ion transport,537,45,64.53,567,0.9980,0.9980,0.9964,0.85547
GO:0006457,protein folding,50,1,6.01,569,0.9984,0.9984,0.9984,0.99900
GO:0006813,potassium ion transport,113,5,13.58,571,0.9985,0.9985,0.9987,0.99716
GO:0006629,lipid metabolic process,201,11,24.15,583,0.9995,0.9995,0.9992,0.84811
GO:0006508,proteolysis,480,38,57.68,576,0.9989,0.9989,0.9993,0.76657
GO:0007018,microtubule-based movement,76,2,9.13,580,0.9994,0.9994,0.9994,0.94818
GO:0008152,metabolic process,4017,299,482.7,656,1.0000,1.0000,0.9999,1.00000
GO:0006464,cellular protein modification process,868,80,104.3,562,0.9977,0.9998,1.0000,0.00194
GO:0006281,DNA repair,124,3,14.9,614,1.0000,1.0000,1.0000,1.00000
GO:0006396,RNA processing,185,2,22.23,636,1.0000,1.0000,1.0000,0.92212
GO:0006412,translation,191,8,22.95,607,1.0000,1.0000,1.0000,0.81034
GO:0035556,intracellular signal transduction,311,25,37.37,538,0.9918,1.0000,1.0000,1.00000
GO:0000041,transition metal ion transport,14,2,1.68,292,0.5151,0.5151,1.0000,0.43221
GO:0000075,cell cycle checkpoint,33,6,3.97,138,0.1983,0.1983,1.0000,0.00058
GO:0000096,sulfur amino acid metabolic process,13,3,1.56,139,0.1989,0.1989,1.0000,0.07639
GO:0000097,sulfur amino acid biosynthetic process,9,2,1.08,189,0.2957,0.2957,1.0000,0.10317
GO:0000098,sulfur amino acid catabolic process,2,1,0.24,152,0.2259,0.2259,1.0000,0.32077
GO:0000165,MAPK cascade,33,10,3.97,33,0.0041,1.0000,1.0000,5.0e-05
GO:0000278,mitotic cell cycle,59,3,7.09,525,0.9789,0.9789,1.0000,0.72693
GO:0000902,cell morphogenesis,26,3,3.12,330,0.6200,0.6200,1.0000,1.00000
GO:0000904,cell morphogenesis involved in different...,9,3,1.08,110,0.0834,0.0834,1.0000,0.11096
GO:0001505,regulation of neurotransmitter levels,12,1,1.44,373,0.7851,0.7851,1.0000,0.35904
GO:0001765,membrane raft assembly,3,1,0.36,205,0.3189,0.3189,1.0000,1.00000
GO:0001816,cytokine production,6,1,0.72,296,0.5362,0.5362,1.0000,0.57823
GO:0001817,regulation of cytokine production,6,1,0.72,297,0.5362,0.5362,1.0000,0.70485
GO:0001819,positive regulation of cytokine producti...,5,1,0.6,273,0.4729,0.4729,1.0000,0.71429
GO:0001906,cell killing,4,1,0.48,230,0.4008,0.4008,1.0000,0.40082
GO:0001932,regulation of protein phosphorylation,43,10,5.17,67,0.0283,1.0000,1.0000,0.03618
GO:0001934,positive regulation of protein phosphory...,34,10,4.09,38,0.0052,1.0000,1.0000,0.00757
GO:0002252,immune effector process,27,3,3.24,339,0.6461,0.6461,1.0000,0.42491
GO:0002253,activation of immune response,6,1,0.72,298,0.5362,0.5362,1.0000,0.42818
GO:0002376,immune system process,70,6,8.41,417,0.8615,0.8615,1.0000,0.86148
GO:0002682,regulation of immune system process,7,1,0.84,323,0.5920,0.5920,1.0000,0.77110
GO:0002684,positive regulation of immune system pro...,6,1,0.72,299,0.5362,0.5362,1.0000,0.48697
GO:0003008,system process,27,3,3.24,340,0.6461,0.6461,1.0000,0.72433
GO:0006082,organic acid metabolic process,189,11,22.71,574,0.9987,0.9987,1.0000,0.99951
GO:0006139,nucleobase-containing compound metabolic...,1208,36,145.16,657,1.0000,1.0000,1.0000,1.00000
GO:0006163,purine nucleotide metabolic process,71,3,8.53,549,0.9937,0.9937,1.0000,0.62796
GO:0006164,purine nucleotide biosynthetic process,48,1,5.77,565,0.9979,0.9979,1.0000,0.94713
GO:0006259,DNA metabolic process,250,16,30.04,577,0.9990,0.9990,1.0000,0.32002
GO:0006304,DNA modification,3,1,0.36,206,0.3189,0.3189,1.0000,0.22993
GO:0006323,DNA packaging,28,1,3.36,518,0.9724,0.9724,1.0000,0.87500
GO:0006325,chromatin organization,75,1,9.01,601,0.9999,0.9999,1.0000,0.93454
GO:0006333,chromatin assembly or disassembly,23,1,2.76,483,0.9476,0.9476,1.0000,0.30667
GO:0006351,transcription DNA-templated,562,11,67.53,658,1.0000,1.0000,1.0000,0.79566
GO:0006355,regulation of transcription DNA-templat...,492,10,59.12,659,1.0000,1.0000,1.0000,0.98710
GO:0006399,tRNA metabolic process,69,1,8.29,597,0.9999,0.9999,1.0000,0.91033
GO:0006417,regulation of translation,23,5,2.76,121,0.1338,0.1338,1.0000,0.00128
GO:0006461,protein complex assembly,157,7,18.87,590,0.9997,0.9997,1.0000,0.47940
GO:0006477,protein sulfation,16,2,1.92,316,0.5895,0.5895,1.0000,0.44263
GO:0006518,peptide metabolic process,226,11,27.16,602,0.9999,0.9999,1.0000,0.66689
GO:0006520,cellular amino acid metabolic process,130,9,15.62,527,0.9802,0.9802,1.0000,0.44199
GO:0006555,methionine metabolic process,10,2,1.2,220,0.3424,0.3424,1.0000,0.54180
GO:0006560,proline metabolic process,9,2,1.08,190,0.2957,0.2957,1.0000,0.02899
GO:0006575,cellular modified amino acid metabolic p...,40,6,4.81,221,0.3475,0.3475,1.0000,0.03392
GO:0006650,glycerophospholipid metabolic process,38,1,4.57,542,0.9924,0.9924,1.0000,0.99830
GO:0006658,phosphatidylserine metabolic process,3,1,0.36,207,0.3189,0.3189,1.0000,0.23728
GO:0006725,cellular aromatic compound metabolic pro...,1258,36,151.17,660,1.0000,1.0000,1.0000,1.00000
GO:0006732,coenzyme metabolic process,64,1,7.69,592,0.9997,0.9997,1.0000,0.86486
GO:0006749,glutathione metabolic process,20,3,2.4,256,0.4379,0.4379,1.0000,0.11920
GO:0006753,nucleoside phosphate metabolic process,115,4,13.82,589,0.9997,0.9997,1.0000,0.99922
GO:0006754,ATP biosynthetic process,13,1,1.56,389,0.8109,0.8109,1.0000,0.47651
GO:0006790,sulfur compound metabolic process,68,9,8.17,255,0.4328,0.4328,1.0000,0.02116
GO:0006793,phosphorus metabolic process,779,82,93.61,457,0.9224,0.9854,1.0000,4.7e-09
GO:0006796,phosphate-containing compound metabolic ...,767,82,92.17,437,0.8956,0.9782,1.0000,0.26060
GO:0006818,hydrogen transport,29,2,3.48,430,0.8794,0.8794,1.0000,0.76440
GO:0006820,anion transport,71,7,8.53,371,0.7655,0.7655,1.0000,0.38327
GO:0006825,copper ion transport,9,2,1.08,191,0.2957,0.2957,1.0000,0.39560
GO:0006887,exocytosis,26,1,3.12,501,0.9644,0.9644,1.0000,0.19118
GO:0006928,movement of cell or subcellular componen...,95,5,11.42,540,0.9921,0.9921,1.0000,0.99975
GO:0006935,chemotaxis,6,3,0.72,60,0.0261,0.0261,1.0000,0.00659
GO:0006950,response to stress,280,29,33.65,397,0.8322,0.9915,1.0000,1.00000
GO:0006952,defense response,37,5,4.45,263,0.4632,0.4632,1.0000,0.33201
GO:0006974,cellular response to DNA damage stimulus,152,9,18.26,553,0.9963,0.9963,1.0000,0.99998
GO:0006996,organelle organization,299,6,35.93,638,1.0000,1.0000,1.0000,0.98683
GO:0007005,mitochondrion organization,30,2,3.6,435,0.8910,0.8910,1.0000,0.11324
GO:0007009,plasma membrane organization,5,1,0.6,274,0.4729,0.4729,1.0000,0.36165
GO:0007010,cytoskeleton organization,100,2,12.02,608,1.0000,1.0000,1.0000,0.65327
GO:0007049,cell cycle,157,9,18.87,558,0.9975,0.9975,1.0000,0.99999
GO:0007249,I-kappaB kinase/NF-kappaB signaling,3,1,0.36,208,0.3189,0.3189,1.0000,0.22295
GO:0007254,JNK cascade,30,10,3.6,20,0.0019,1.0000,1.0000,1.00000
GO:0007265,Ras protein signal transduction,46,3,5.53,466,0.9270,0.9270,1.0000,0.87762
GO:0007266,Rho protein signal transduction,39,3,4.69,420,0.8639,0.8639,1.0000,0.60204
GO:0007267,cell-cell signaling,22,1,2.64,479,0.9404,0.9404,1.0000,0.99801
GO:0007268,synaptic transmission,16,1,1.92,424,0.8713,0.8713,1.0000,1.00000
GO:0007269,neurotransmitter secretion,12,1,1.44,374,0.7851,0.7851,1.0000,0.90185
GO:0007409,axonogenesis,7,3,0.84,71,0.0417,0.0417,1.0000,0.62500
GO:0007600,sensory perception,16,3,1.92,195,0.3006,0.3006,1.0000,1.00000
GO:0007606,sensory perception of chemical stimulus,8,3,0.96,92,0.0609,0.0609,1.0000,0.10000
GO:0008064,regulation of actin polymerization or de...,19,1,2.28,449,0.9124,0.9124,1.0000,0.90476
GO:0008150,biological_process,7548,907,907,661,1.0000,1.0000,1.0000,1.00000
GO:0008154,actin polymerization or depolymerization,21,1,2.52,471,0.9323,0.9323,1.0000,0.96923
GO:0008219,cell death,120,15,14.42,287,0.4770,0.4770,1.0000,0.89596
GO:0008283,cell proliferation,11,1,1.32,366,0.7557,0.7557,1.0000,0.83168
GO:0008643,carbohydrate transport,8,1,0.96,337,0.6411,0.6411,1.0000,0.51313
GO:0008652,cellular amino acid biosynthetic process,41,2,4.93,504,0.9657,0.9657,1.0000,0.55044
GO:0009056,catabolic process,229,10,27.52,616,1.0000,1.0000,1.0000,0.98106
GO:0009059,macromolecule biosynthetic process,908,23,109.11,662,1.0000,1.0000,1.0000,1.00000
GO:0009063,cellular amino acid catabolic process,20,3,2.4,257,0.4379,0.4379,1.0000,0.17070
GO:0009064,glutamine family amino acid metabolic pr...,26,4,3.12,223,0.3821,0.3821,1.0000,0.16949
GO:0009065,glutamine family amino acid catabolic pr...,4,2,0.48,106,0.0733,0.0733,1.0000,0.04998
GO:0009066,aspartate family amino acid metabolic pr...,16,2,1.92,317,0.5895,0.5895,1.0000,0.44915
GO:0009067,aspartate family amino acid biosynthetic...,13,2,1.56,285,0.4747,0.4747,1.0000,0.08245
GO:0009100,glycoprotein metabolic process,72,4,8.65,526,0.9795,0.9795,1.0000,0.66545
GO:0009101,glycoprotein biosynthetic process,70,4,8.41,520,0.9755,0.9755,1.0000,0.10568
GO:0009108,coenzyme biosynthetic process,38,1,4.57,543,0.9924,0.9924,1.0000,0.53521
GO:0009117,nucleotide metabolic process,113,4,13.58,588,0.9996,0.9996,1.0000,0.93135
GO:0009119,ribonucleoside metabolic process,58,4,6.97,470,0.9302,0.9302,1.0000,0.68338
GO:0009123,nucleoside monophosphate metabolic proce...,43,2,5.17,516,0.9724,0.9724,1.0000,0.48024
GO:0009124,nucleoside monophosphate biosynthetic pr...,23,1,2.76,484,0.9476,0.9476,1.0000,0.55180
GO:0009126,purine nucleoside monophosphate metaboli...,38,2,4.57,487,0.9526,0.9526,1.0000,0.77852
GO:0009127,purine nucleoside monophosphate biosynth...,19,1,2.28,450,0.9124,0.9124,1.0000,0.70616
GO:0009141,nucleoside triphosphate metabolic proces...,41,2,4.93,505,0.9657,0.9657,1.0000,0.44912
GO:0009142,nucleoside triphosphate biosynthetic pro...,21,1,2.52,472,0.9323,0.9323,1.0000,0.51497
GO:0009144,purine nucleoside triphosphate metabolic...,39,2,4.69,493,0.9574,0.9574,1.0000,0.90366
GO:0009145,purine nucleoside triphosphate biosynthe...,20,1,2.4,458,0.9230,0.9230,1.0000,0.75641
GO:0009150,purine ribonucleotide metabolic process,66,3,7.93,537,0.9895,0.9895,1.0000,0.70591
GO:0009152,purine ribonucleotide biosynthetic proce...,44,1,5.29,554,0.9965,0.9965,1.0000,0.94125
GO:0009156,ribonucleoside monophosphate biosyntheti...,22,1,2.64,480,0.9404,0.9404,1.0000,0.77933
GO:0009161,ribonucleoside monophosphate metabolic p...,41,2,4.93,506,0.9657,0.9657,1.0000,0.90808
GO:0009163,nucleoside biosynthetic process,34,2,4.09,468,0.9278,0.9278,1.0000,0.25617
GO:0009165,nucleotide biosynthetic process,79,2,9.49,585,0.9995,0.9995,1.0000,0.91938
GO:0009167,purine ribonucleoside monophosphate meta...,38,2,4.57,488,0.9526,0.9526,1.0000,0.85732
GO:0009168,purine ribonucleoside monophosphate bios...,19,1,2.28,451,0.9124,0.9124,1.0000,0.71829
GO:0009187,cyclic nucleotide metabolic process,26,1,3.12,502,0.9644,0.9644,1.0000,0.65430
GO:0009199,ribonucleoside triphosphate metabolic pr...,40,2,4.81,498,0.9618,0.9618,1.0000,0.95122
GO:0009201,ribonucleoside triphosphate biosynthetic...,21,1,2.52,473,0.9323,0.9323,1.0000,0.78077
GO:0009205,purine ribonucleoside triphosphate metab...,39,2,4.69,494,0.9574,0.9574,1.0000,0.95000
GO:0009206,purine ribonucleoside triphosphate biosy...,20,1,2.4,459,0.9230,0.9230,1.0000,0.75641
GO:0009259,ribonucleotide metabolic process,69,3,8.29,541,0.9923,0.9923,1.0000,0.49231
GO:0009260,ribonucleotide biosynthetic process,47,1,5.65,559,0.9976,0.9976,1.0000,0.92254
GO:0009593,detection of chemical stimulus,8,3,0.96,93,0.0609,0.0609,1.0000,0.01719
GO:0009605,response to external stimulus,37,6,4.45,183,0.2811,0.2811,1.0000,0.87734
GO:0009607,response to biotic stimulus,37,3,4.45,405,0.8387,0.8387,1.0000,0.99520
GO:0009615,response to virus,28,3,3.36,344,0.6710,0.6710,1.0000,0.72881
GO:0009653,anatomical structure morphogenesis,39,3,4.69,421,0.8639,0.8639,1.0000,0.84198
GO:0009889,regulation of biosynthetic process,523,15,62.85,650,1.0000,1.0000,1.0000,0.96091
GO:0009890,negative regulation of biosynthetic proc...,45,7,5.41,188,0.2928,0.2928,1.0000,0.00046
GO:0009892,negative regulation of metabolic process,57,8,6.85,222,0.3770,0.3770,1.0000,0.05683
GO:0009893,positive regulation of metabolic process,72,11,8.65,171,0.2426,0.9958,1.0000,0.01630
GO:0009967,positive regulation of signal transducti...,39,11,4.69,37,0.0049,0.7195,1.0000,0.35980
GO:0009987,cellular process,5611,721,674.24,14,6.6e-05,1.0000,1.0000,6.6e-05
GO:0010256,endomembrane system organization,10,1,1.2,358,0.7222,0.7222,1.0000,0.28192
GO:0010466,negative regulation of peptidase activit...,2,1,0.24,153,0.2259,0.2259,1.0000,0.22222
GO:0010467,gene expression,969,21,116.44,663,1.0000,1.0000,1.0000,1.00000
GO:0010468,regulation of gene expression,524,15,62.97,651,1.0000,1.0000,1.0000,0.72544
GO:0010556,regulation of macromolecule biosynthetic...,520,15,62.49,648,1.0000,1.0000,1.0000,0.88851
GO:0010558,negative regulation of macromolecule bio...,42,7,5.05,166,0.2347,0.2347,1.0000,4.8e-05
GO:0010562,positive regulation of phosphorus metabo...,37,10,4.45,44,0.0099,1.0000,1.0000,0.00248
GO:0010604,positive regulation of macromolecule met...,58,10,6.97,124,0.1521,1.0000,1.0000,0.00275
GO:0010605,negative regulation of macromolecule met...,53,8,6.37,197,0.3015,0.3015,1.0000,0.01577
GO:0010608,posttranscriptional regulation of gene e...,24,5,2.88,126,0.1532,0.1532,1.0000,0.00029
GO:0010629,negative regulation of gene expression,43,7,5.17,179,0.2537,0.2537,1.0000,2.0e-05
GO:0010638,positive regulation of organelle organiz...,17,1,2.04,431,0.8868,0.8868,1.0000,0.29746
GO:0010646,regulation of cell communication,134,16,16.1,305,0.5513,0.9898,1.0000,0.99243
GO:0010647,positive regulation of cell communicatio...,45,11,5.41,49,0.0153,0.8693,1.0000,0.53054
GO:0010876,lipid localization,47,8,5.65,137,0.1969,0.1969,1.0000,8.7e-06
GO:0010941,regulation of cell death,98,14,11.78,186,0.2856,0.2856,1.0000,0.92292
GO:0010951,negative regulation of endopeptidase act...,2,1,0.24,154,0.2259,0.2259,1.0000,1.00000
GO:0012501,programmed cell death,120,15,14.42,288,0.4770,0.4770,1.0000,1.00000
GO:0015672,monovalent inorganic cation transport,209,19,25.11,467,0.9277,0.9277,1.0000,0.62268
GO:0015698,inorganic anion transport,18,2,2.16,341,0.6551,0.6551,1.0000,0.57337
GO:0015711,organic anion transport,47,5,5.65,345,0.6816,0.6816,1.0000,0.05657
GO:0015718,monocarboxylic acid transport,20,5,2.4,107,0.0828,0.0828,1.0000,0.03557
GO:0015833,peptide transport,9,1,1.08,347,0.6843,0.6843,1.0000,0.34471
GO:0015849,organic acid transport,37,5,4.45,264,0.4632,0.4632,1.0000,0.20495
GO:0015908,fatty acid transport,18,5,2.16,87,0.0559,0.0559,1.0000,0.11623
GO:0015909,long-chain fatty acid transport,18,5,2.16,88,0.0559,0.0559,1.0000,1.00000
GO:0015985,energy coupled proton transport down el...,13,1,1.56,390,0.8109,0.8109,1.0000,0.52000
