term_ID,description,frequency,plot_X,plot_Y,plot_size,value,uniqueness,dispensability,representative,eliminated
GO:0000077,"DNA damage checkpoint",0.074%,null,null,3.976,2.0000,0.697,0.867,7094,1
GO:0007346,"regulation of mitotic cell cycle",0.269%,null,null,4.537,2.0000,0.756,0.751,7094,1
GO:0000413,"protein peptidyl-prolyl isomerization",0.393%,-4.917,-5.943,4.703,10.0000,0.827,0.542,413,0
GO:0046931,"pore complex assembly",0.006%, 3.386, 5.898,2.919,2.0000,0.888,0.558,46931,0
GO:0015696,"ammonium transport",0.148%, 6.072,-1.215,4.279,4.0000,0.865,0.559,15696,0
GO:0016567,"protein ubiquitination",0.523%,-4.599,-5.831,4.827,17.0000,0.823,0.560,16567,0
GO:0006470,"protein dephosphorylation",0.585%,-4.101,-5.049,4.875,11.0000,0.792,0.568,6470,0
GO:0006952,"defense response",0.568%,-3.897, 6.437,4.863,1.0000,0.822,0.570,6952,0
GO:0016055,"Wnt signaling pathway",0.140%,-5.130, 3.538,4.253,2.0000,0.696,0.573,16055,0
GO:0060828,"regulation of canonical Wnt signaling pathway",0.047%,null,null,3.780,1.0000,0.693,0.922,16055,1
GO:0009451,"RNA modification",1.778%,-5.668,-4.206,5.358,3.0000,0.778,0.581,9451,0
GO:0071539,"protein localization to centrosome",0.006%, 5.179,-0.198,2.914,2.0000,0.898,0.583,71539,0
GO:0051726,"regulation of cell cycle",0.547%,-4.960, 2.549,4.846,2.0000,0.752,0.596,51726,0
GO:0006310,"DNA recombination",1.641%,-3.440,-6.124,5.323,3.0000,0.813,0.598,6310,0
GO:0007507,"heart development",0.127%, 1.284, 6.724,4.211,7.0000,0.853,0.617,7507,0
GO:0016525,"negative regulation of angiogenesis",0.020%,null,null,3.408,1.0000,0.777,0.795,7507,1
GO:0048513,"animal organ development",0.779%,null,null,5.000,1.0000,0.842,0.749,7507,1
GO:0006355,"regulation of transcription, DNA-templated",9.917%,-5.826,-0.562,6.105,28.0000,0.661,0.622,6355,0
GO:0046330,"positive regulation of JNK cascade",0.028%,-5.221, 0.563,3.549,5.0000,0.615,0.629,46330,0
GO:0051056,"regulation of small GTPase mediated signal transduction",0.218%,null,null,4.447,2.0000,0.703,0.723,46330,1
GO:0035556,"intracellular signal transduction",4.000%,-5.173, 4.186,5.710,4.0000,0.663,0.638,35556,0
GO:0007165,"signal transduction",6.621%,null,null,5.929,102.0000,0.649,0.847,35556,1
GO:0007166,"cell surface receptor signaling pathway",0.920%,-5.261, 4.576,5.072,2.0000,0.702,0.641,7166,0
GO:0016042,"lipid catabolic process",0.401%, 1.821,-6.183,4.712,7.0000,0.834,0.650,16042,0
GO:0009168,"purine ribonucleoside monophosphate biosynthetic process",1.043%,-4.382,-2.375,5.127,2.0000,0.697,0.654,9168,0
GO:0001522,"pseudouridine synthesis",0.350%,-5.767,-4.669,4.652,5.0000,0.791,0.667,1522,0
GO:0006625,"protein targeting to peroxisome",0.043%, 4.777, 2.707,3.744,1.0000,0.796,0.675,6625,0
GO:0070588,"calcium ion transmembrane transport",0.157%, 6.212,-1.277,4.305,4.0000,0.867,0.681,70588,0
GO:0006810,"transport",17.616%, 6.240,-0.442,6.354,19.0000,0.861,0.684,6810,0
GO:0006281,"DNA repair",2.234%,-5.922, 0.233,5.457,2.0000,0.652,0.688,6281,0
GO:0030509,"BMP signaling pathway",0.042%,-5.882, 1.986,3.731,1.0000,0.665,0.690,30509,0
GO:0007250,"activation of NF-kappaB-inducing kinase activity",0.008%,-5.908, 0.949,2.985,5.0000,0.669,0.693,7250,0
GO:0007018,"microtubule-based movement",0.287%,-1.211, 0.983,4.567,6.0000,0.821,0.697,7018,0
GO:0003341,"cilium movement",0.023%,null,null,3.467,2.0000,0.844,0.701,7018,1
