term_ID,description,frequency,plot_X,plot_Y,plot_size,value,uniqueness,dispensability,representative,eliminated
GO:0006355,"regulation of transcription, DNA-templated",9.917%,-3.334,-3.885,6.105,23.0000,0.633,0.552,6355,0
GO:0006351,"transcription, DNA-templated",10.659%,null,null,6.136,3.0000,0.737,0.876,6355,1
GO:0009116,"nucleoside metabolic process",2.917%,-0.792,-3.045,5.573,1.0000,0.727,0.557,9116,0
GO:0016567,"protein ubiquitination",0.523%,-2.159,-7.391,4.827,21.0000,0.797,0.560,16567,0
GO:0000209,"protein polyubiquitination",0.066%,null,null,3.929,1.0000,0.821,0.807,16567,1
GO:1904262,"negative regulation of TORC1 signaling",0.004%,-7.492,-0.049,2.709,1.0000,0.737,0.565,1904262,0
GO:0006952,"defense response",0.568%,-7.537, 2.006,4.863,4.0000,0.786,0.570,6952,0
GO:0006310,"DNA recombination",1.641%, 1.254,-7.068,5.323,32.0000,0.763,0.598,6310,0
GO:0006812,"cation transport",3.242%, 2.497, 5.924,5.619,4.0000,0.867,0.607,6812,0
GO:0000077,"DNA damage checkpoint",0.074%,-6.429,-0.792,3.976,6.0000,0.698,0.636,77,0
GO:0035556,"intracellular signal transduction",4.000%,-6.626, 0.203,5.710,2.0000,0.634,0.641,35556,0
GO:0007165,"signal transduction",6.621%,null,null,5.929,164.0000,0.617,0.847,35556,1
GO:0016042,"lipid catabolic process",0.401%, 3.772,-2.346,4.712,12.0000,0.821,0.650,16042,0
GO:0006260,"DNA replication",1.577%, 0.791,-6.576,5.306,1.0000,0.748,0.659,6260,0
GO:0070588,"calcium ion transmembrane transport",0.157%, 2.364, 5.774,4.305,5.0000,0.886,0.661,70588,0
GO:0009247,"glycolipid biosynthetic process",0.287%,-0.844,-1.684,4.566,9.0000,0.775,0.684,9247,0
GO:0006810,"transport",17.616%, 2.313, 6.179,6.354,9.0000,0.872,0.684,6810,0
GO:0006281,"DNA repair",2.234%,-4.232,-4.027,5.457,6.0000,0.578,0.688,6281,0
GO:0006284,"base-excision repair",0.270%,null,null,4.539,2.0000,0.642,0.753,6281,1
GO:0033554,"cellular response to stress",2.967%,null,null,5.581,2.0000,0.713,0.804,6281,1
GO:0006265,"DNA topological change",0.268%, 4.178,-4.617,4.536,2.0000,0.743,0.692,6265,0
GO:0007250,"activation of NF-kappaB-inducing kinase activity",0.008%,-5.828,-2.408,2.985,21.0000,0.657,0.693,7250,0
