term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0016180,"snRNA processing",0.026%, 0.685,-0.719,3.523,-0.3252,0.889,0.183,16180,0
GO:0006885,"regulation of pH",0.066%,-5.109, 2.578,3.931,-0.3252,0.865,0.209,6885,0
GO:0009308,"amine metabolic process",0.521%, 4.173,-4.931,4.825,-0.4746,0.888,0.213,9308,0
GO:0046931,"pore complex assembly",0.006%, 5.292,-0.779,2.919,-0.3971,0.909,0.266,46931,0
GO:0007411,"axon guidance",0.066%,-4.209, 0.130,3.930,-1.5834,0.653,0.306,7411,0
GO:0050767,"regulation of neurogenesis",0.146%,null,null,4.272,-0.6047,0.693,0.807,7411,1
GO:0001539,"cilium or flagellum-dependent cell motility",0.314%,null,null,4.605,-0.9201,0.771,0.701,7411,1
GO:0035385,"Roundabout signaling pathway",0.006%,-7.181, 0.454,2.920,-1.5834,0.781,0.353,35385,0
GO:0046330,"positive regulation of JNK cascade",0.028%,-5.242,-2.642,3.549,-2.8539,0.621,0.392,46330,0
GO:0043123,"positive regulation of I-kappaB kinase/NF-kappaB signaling",0.037%,null,null,3.676,-0.6461,0.709,0.762,46330,1
GO:0002218,"activation of innate immune response",0.037%,null,null,3.675,-0.3252,0.753,0.705,46330,1
GO:0050482,"arachidonic acid secretion",0.026%, 3.589, 4.947,3.528,-1.3507,0.794,0.395,50482,0
GO:0009401,"phosphoenolpyruvate-dependent sugar phosphotransferase system",0.308%, 4.089, 4.623,4.597,-0.9201,0.803,0.406,9401,0
GO:0006836,"neurotransmitter transport",0.113%, 4.368, 4.443,4.163,-0.8729,0.815,0.430,6836,0
GO:0050912,"detection of chemical stimulus involved in sensory perception of taste",0.009%,-6.536, 2.469,3.070,-1.2154,0.806,0.440,50912,0
GO:0009307,"DNA restriction-modification system",0.062%,-5.843,-1.748,3.902,-0.6461,0.751,0.440,9307,0
GO:0000077,"DNA damage checkpoint",0.074%,-5.730,-2.113,3.976,-1.2240,0.728,0.443,77,0
GO:0015969,"guanosine tetraphosphate metabolic process",0.065%,-1.293,-6.618,3.920,-0.9201,0.768,0.445,15969,0
GO:0035278,"miRNA mediated inhibition of translation",0.006%,-4.296,-4.656,2.851,-1.7077,0.730,0.462,35278,0
GO:0006468,"protein phosphorylation",4.137%,-3.832,-5.928,5.725,-0.3763,0.808,0.465,6468,0
GO:0018996,"molting cycle, collagen and cuticulin-based cuticle",0.008%,-4.179, 5.970,2.990,-0.6461,0.833,0.468,18996,0
GO:0032481,"positive regulation of type I interferon production",0.010%,-5.771, 3.154,3.091,-0.3252,0.740,0.474,32481,0
GO:0006659,"phosphatidylserine biosynthetic process",0.009%,-0.239,-7.160,3.040,-0.4963,0.748,0.510,6659,0
GO:0006313,"transposition, DNA-mediated",0.413%,-0.805,-4.869,4.724,-0.4963,0.778,0.519,6313,0
GO:0008272,"sulfate transport",0.150%, 3.405, 5.201,4.284,-0.8072,0.790,0.523,8272,0
GO:1990504,"dense core granule exocytosis",0.005%, 4.533, 3.405,2.780,-0.6461,0.779,0.525,1990504,0
GO:0016079,"synaptic vesicle exocytosis",0.024%,null,null,3.480,-0.4963,0.671,0.884,1990504,1
GO:0070836,"caveola assembly",0.004%, 4.674,-1.536,2.741,-0.4963,0.832,0.529,70836,0
GO:0007166,"cell surface receptor signaling pathway",0.920%,-6.753,-0.164,5.072,-0.9326,0.709,0.538,7166,0
GO:0033554,"cellular response to stress",2.967%,-7.433,-0.448,5.581,-0.3625,0.772,0.549,33554,0
GO:0030328,"prenylcysteine catabolic process",0.006%, 3.425,-5.975,2.882,-0.6461,0.752,0.564,30328,0
GO:0006751,"glutathione catabolic process",0.074%,null,null,3.977,-0.5751,0.795,0.801,30328,1
GO:0008277,"regulation of G-protein coupled receptor protein signaling pathway",0.024%,-7.214,-0.739,3.494,-0.4963,0.735,0.571,8277,0
GO:0007015,"actin filament organization",0.240%, 1.661,-3.540,4.488,-0.3247,0.802,0.572,7015,0
GO:0035434,"copper ion transmembrane transport",0.038%, 2.270, 5.906,3.683,-0.6047,0.866,0.588,35434,0
GO:0043154,"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.017%,-5.325,-4.152,3.340,-0.6461,0.724,0.589,43154,0
GO:0042981,"regulation of apoptotic process",0.313%,null,null,4.604,-0.5098,0.756,0.792,43154,1
GO:0007507,"heart development",0.127%,-4.442, 5.870,4.211,-1.1349,0.804,0.617,7507,0
GO:0007399,"nervous system development",0.582%,null,null,4.873,-0.4976,0.787,0.730,7507,1
GO:0016042,"lipid catabolic process",0.401%, 3.888,-6.300,4.712,-0.4314,0.784,0.650,16042,0
GO:0070588,"calcium ion transmembrane transport",0.157%, 2.541, 5.900,4.305,-0.3342,0.857,0.656,70588,0
GO:0006541,"glutamine metabolic process",0.472%, 1.078,-6.406,4.782,-0.4112,0.760,0.659,6541,0
GO:0009086,"methionine biosynthetic process",0.332%, 1.835,-5.906,4.630,-0.6047,0.719,0.673,9086,0
GO:0052331,"hemolysis in other organism involved in symbiotic interaction",0.002%,-4.033, 4.078,2.498,-0.3971,0.849,0.678,52331,0
GO:0007165,"signal transduction",6.621%,-6.520,-0.431,5.929,-2.7447,0.666,0.681,7165,0
GO:0007250,"activation of NF-kappaB-inducing kinase activity",0.008%,-6.203,-2.518,2.985,-2.8539,0.673,0.693,7250,0
