# BUSCO version is: 2.0.1 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 978)
# To reproduce this run: python /nethome/rcunning/local/busco/BUSCO.py -i ../data/filter/pdam.fasta -o pdam -l /nethome/rcunning/local/busco/metazoa_odb9/ -m genome -c 15 --long -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091G048B	Duplicated	SczhEnG_4320	97219	103307	251.0	237
EOG091G0495	Complete	SczhEnG_1018	58692	69170	597.2	467
EOG091G049W	Complete	SczhEnG_246	398214	409642	365.3	248
EOG091G04CK	Complete	SczhEnG_3628	216618	222956	463.3	309
EOG091G04D1	Complete	SczhEnG_2712	1917212	1935292	766.6	695
EOG091G04EX	Complete	SczhEnG_1277	61776	111849	629.3	422
EOG091G04FV	Missing
EOG091G04GK	Complete	SczhEnG_684	228804	241811	483.1	575
EOG091G04GW	Complete	SczhEnG_3505	227663	236730	732.2	510
EOG091G04IK	Complete	SczhEnG_449	94759	104333	169.9	250
EOG091G04JK	Complete	SczhEnG_2600	238161	244549	582.3	650
EOG091G04LC	Complete	SczhEnG_4068	432665	450558	507.2	470
EOG091G04MA	Complete	SczhEnG_3001	47459	53692	313.1	379
EOG091G04RS	Complete	SczhEnG_3781	95015	104694	736.2	417
EOG091G04WH	Complete	SczhEnG_3973	339920	348964	571.3	486
EOG091G050A	Complete	SczhEnG_3631	354725	363323	236.3	234
EOG091G050Q	Complete	SczhEnG_4231	411468	415259	529.0	266
EOG091G0525	Complete	SczhEnG_388	98804	102276	219.6	295
EOG091G0530	Complete	SczhEnG_3381	430859	439875	653.5	390
EOG091G053A	Missing
EOG091G053D	Complete	SczhEnG_3644	415361	421037	328.6	300
EOG091G053R	Complete	SczhEnG_1571	42170	53929	107.7	223
EOG091G054P	Complete	SczhEnG_3808	177764	181688	104.8	104
EOG091G0554	Fragmented	SczhEnG_2470	1020	9105	165.8	147
EOG091G057L	Complete	SczhEnG_193	92355	95563	120.0	278
EOG091G059G	Complete	SczhEnG_2745	1098383	1107396	370.4	310
EOG091G05AA	Complete	SczhEnG_4230	338017	350507	723.2	412
EOG091G05AH	Complete	SczhEnG_1415	558256	570586	723.9	536
EOG091G05CI	Complete	SczhEnG_1486	24781	35933	559.7	509
EOG091G05D7	Complete	SczhEnG_3783	240302	249273	331.7	317
EOG091G05EU	Complete	SczhEnG_3263	2381	11142	346.1	350
EOG091G05FE	Complete	SczhEnG_2459	120855	133541	657.2	535
EOG091G05GZ	Complete	SczhEnG_2013	253653	262109	501.8	540
EOG091G05IH	Complete	SczhEnG_2622	75959	84672	267.6	263
EOG091G05IK	Complete	SczhEnG_2522	112922	121271	560.6	402
EOG091G05K5	Complete	SczhEnG_3078	32587	39999	687.5	501
EOG091G05K7	Complete	SczhEnG_946	86638	97342	330.2	386
EOG091G05KR	Complete	SczhEnG_1030	1026	10511	699.7	469
EOG091G05LX	Complete	SczhEnG_1334	34220	37547	97.5	205
EOG091G05N4	Complete	SczhEnG_458	210478	216543	448.7	488
EOG091G05NK	Complete	SczhEnG_256	45396	60457	454.6	494
EOG091G05NZ	Complete	SczhEnG_2600	100349	137563	302.1	459
EOG091G05OR	Complete	SczhEnG_538	626427	640126	683.2	446
EOG091G05OW	Complete	SczhEnG_1403	34867	51670	932.9	464
EOG091G05Q0	Fragmented	SczhEnG_2032	189298	193671	235.3	161
EOG091G05Q6	Complete	SczhEnG_3594	149330	151992	495.9	395
EOG091G05RA	Complete	SczhEnG_3315	74924	79569	279.1	269
EOG091G05SE	Complete	SczhEnG_1809	449519	458478	674.2	437
EOG091G05T4	Complete	SczhEnG_3058	862817	875287	655.2	416
EOG091G05TG	Complete	SczhEnG_3257	814018	824122	725.9	459
EOG091G05UF	Complete	SczhEnG_4106	234130	248108	507.3	408
EOG091G05X1	Complete	SczhEnG_831	75576	83644	305.4	324
EOG091G05XY	Complete	SczhEnG_1478	1	10048	265.6	240
EOG091G05YC	Complete	SczhEnG_2782	37468	48120	371.4	368
EOG091G05ZE	Complete	SczhEnG_2518	23939	30348	353.9	278
EOG091G05ZJ	Fragmented	SczhEnG_4060	44710	51756	116.7	109
EOG091G060D	Complete	SczhEnG_3831	532261	542852	485.4	331
EOG091G0627	Missing
EOG091G0628	Complete	SczhEnG_2986	243560	257049	680.3	470
EOG091G062X	Duplicated	SczhEnG_4215	127713	141405	360.3	376
EOG091G062X	Duplicated	SczhEnG_4215	142043	153108	311.5	361
EOG091G065D	Complete	SczhEnG_3341	157054	165914	600.2	424
EOG091G066W	Complete	SczhEnG_1531	57584	67270	162.7	193
EOG091G069C	Complete	SczhEnG_1812	363003	369601	354.9	246
EOG091G06CB	Complete	SczhEnG_1051	5152	11581	558.2	374
EOG091G06DH	Complete	SczhEnG_1809	711854	722231	465.2	414
EOG091G06EF	Complete	SczhEnG_3132	136824	145721	540.1	370
EOG091G06HP	Complete	SczhEnG_538	1838082	1841770	614.6	386
EOG091G06I3	Complete	SczhEnG_655	561131	572987	603.9	452
EOG091G06I8	Complete	SczhEnG_4033	90889	105172	620.1	364
EOG091G06J6	Complete	SczhEnG_1231	2547	23223	522.6	446
EOG091G06JJ	Complete	SczhEnG_605	12943	22524	222.3	156
EOG091G06LW	Complete	SczhEnG_1939	119248	126103	378.0	296
EOG091G06M8	Complete	SczhEnG_1152	229625	249890	474.4	325
EOG091G06MR	Complete	SczhEnG_2815	8404	18109	657.4	428
EOG091G06OM	Complete	SczhEnG_101	470683	479216	599.5	367
EOG091G06ON	Complete	SczhEnG_4287	24130	33632	476.7	337
EOG091G06OP	Complete	SczhEnG_247	58390	69012	448.0	444
EOG091G06P4	Complete	SczhEnG_3433	1297969	1305305	490.9	322
EOG091G06QP	Complete	SczhEnG_2324	168047	177442	469.4	440
EOG091G06S3	Complete	SczhEnG_547	223591	231578	485.5	314
EOG091G06U0	Complete	SczhEnG_3826	2033	17982	682.0	390
EOG091G06XK	Fragmented	SczhEnG_2778	1719	2784	175.1	118
EOG091G06Y3	Complete	SczhEnG_1729	4986	17502	537.1	494
EOG091G06Y7	Complete	SczhEnG_874	65769	75314	592.2	406
EOG091G06YD	Complete	SczhEnG_3681	108842	116108	258.8	240
EOG091G0703	Complete	SczhEnG_1781	51551	61825	426.8	525
EOG091G073F	Complete	SczhEnG_101	524792	536999	318.7	243
EOG091G074G	Complete	SczhEnG_1249	450438	460042	523.4	377
EOG091G074J	Complete	SczhEnG_347	3768	11399	178.2	321
EOG091G074U	Complete	SczhEnG_2459	60784	72610	417.7	309
EOG091G075F	Complete	SczhEnG_2315	782500	791889	498.6	338
EOG091G075K	Complete	SczhEnG_3994	465736	471705	407.0	258
EOG091G0769	Complete	SczhEnG_164	63299	69266	243.5	208
EOG091G0781	Complete	SczhEnG_770	33161	43418	461.4	453
EOG091G078D	Complete	SczhEnG_3433	1021955	1029774	370.9	294
EOG091G079R	Complete	SczhEnG_4038	28123	34893	675.2	346
EOG091G07CE	Complete	SczhEnG_1298	202098	213647	765.5	476
EOG091G07D9	Complete	SczhEnG_101	417481	420798	764.3	389
EOG091G07DR	Complete	SczhEnG_205	303337	307661	834.0	552
EOG091G07EJ	Complete	SczhEnG_4287	45264	52514	338.4	246
EOG091G07FP	Complete	SczhEnG_2452	171855	176575	123.2	152
EOG091G07IK	Complete	SczhEnG_4234	226438	238814	602.8	425
EOG091G07IY	Fragmented	SczhEnG_830	58275	67311	264.4	184
EOG091G07KC	Complete	SczhEnG_4114	21263	29746	416.5	342
EOG091G07KL	Complete	SczhEnG_2053	45190	59066	570.4	546
EOG091G07N5	Complete	SczhEnG_2307	23010	28705	140.0	175
EOG091G07N8	Complete	SczhEnG_3973	239829	251576	688.0	500
EOG091G07NJ	Complete	SczhEnG_1491	131317	151206	298.6	344
EOG091G07OD	Complete	SczhEnG_1707	676033	683399	577.0	374
EOG091G07PH	Complete	SczhEnG_862	555754	561712	177.8	163
EOG091G07PR	Complete	SczhEnG_3255	103568	109141	374.0	248
EOG091G07PV	Complete	SczhEnG_2149	46400	59512	755.0	443
EOG091G07Q3	Complete	SczhEnG_3058	617744	624444	532.4	383
EOG091G07QN	Complete	SczhEnG_3409	271783	284416	366.7	309
EOG091G07S9	Complete	SczhEnG_12	33004	43097	597.4	405
EOG091G07VQ	Complete	SczhEnG_86	93834	104618	228.2	208
EOG091G07Z0	Complete	SczhEnG_2315	64818	71181	558.3	370
EOG091G07Z1	Complete	SczhEnG_142	1023419	1030576	313.7	272
EOG091G07Z5	Complete	SczhEnG_380	107133	120955	609.3	372
EOG091G0803	Complete	SczhEnG_3251	147456	153894	584.9	386
EOG091G0814	Complete	SczhEnG_624	283020	290501	405.7	335
EOG091G081C	Complete	SczhEnG_2824	143863	152970	353.3	342
EOG091G081H	Complete	SczhEnG_74	472953	483497	384.2	449
EOG091G085U	Complete	SczhEnG_999	29939	39435	347.6	296
EOG091G087E	Fragmented	SczhEnG_1717	32101	36743	149.2	207
EOG091G088L	Complete	SczhEnG_1998	4583	15180	516.6	365
EOG091G089T	Complete	SczhEnG_2712	786990	799151	307.8	332
EOG091G08BK	Complete	SczhEnG_3613	148944	159055	709.6	453
EOG091G08D1	Complete	SczhEnG_3323	204369	213148	271.2	458
EOG091G08DN	Complete	SczhEnG_1885	142877	148515	443.8	330
EOG091G08FX	Complete	SczhEnG_660	7288	17963	545.4	302
EOG091G08IJ	Complete	SczhEnG_1146	168420	175538	278.7	268
EOG091G08JE	Complete	SczhEnG_65	344869	352295	586.6	364
EOG091G08JG	Complete	SczhEnG_2697	31085	42033	394.0	335
EOG091G08L8	Complete	SczhEnG_2712	1624608	1632624	212.2	180
EOG091G08LT	Complete	SczhEnG_3725	11750	20788	345.7	245
EOG091G08NN	Complete	SczhEnG_2152	130033	134986	484.2	310
EOG091G08O3	Complete	SczhEnG_1415	790946	798234	542.3	353
EOG091G08PW	Fragmented	SczhEnG_789	173696	176482	237.3	235
EOG091G08R8	Complete	SczhEnG_4055	833079	836008	497.2	416
EOG091G08RU	Complete	SczhEnG_254	362976	371151	502.2	351
EOG091G08SM	Complete	SczhEnG_3781	84834	91886	538.7	306
EOG091G08UU	Complete	SczhEnG_1990	51911	59533	572.6	282
EOG091G08V8	Complete	SczhEnG_618	48359	52532	385.3	354
EOG091G08VB	Complete	SczhEnG_276	50006	65365	657.3	528
EOG091G08Y9	Complete	SczhEnG_2727	236453	242600	246.9	217
EOG091G08ZG	Missing
EOG091G08ZR	Complete	SczhEnG_538	171265	179795	465.3	323
EOG091G090D	Complete	SczhEnG_3081	295812	301171	367.2	314
EOG091G095O	Fragmented	SczhEnG_340	43452	49624	160.7	149
EOG091G096V	Complete	SczhEnG_2687	53105	58027	477.7	359
EOG091G0977	Complete	SczhEnG_2978	189853	197495	435.2	335
EOG091G0990	Complete	SczhEnG_4200	25026	34600	266.6	294
EOG091G099D	Complete	SczhEnG_4200	21936	27595	131.6	262
EOG091G09BP	Complete	SczhEnG_2740	141995	151095	467.5	339
EOG091G09D8	Complete	SczhEnG_1514	16858	23277	262.4	222
EOG091G09FV	Complete	SczhEnG_3512	111457	117310	530.7	294
EOG091G09GA	Complete	SczhEnG_2324	550884	558083	270.9	295
EOG091G09GO	Complete	SczhEnG_4172	77766	83556	466.0	298
EOG091G09HG	Duplicated	SczhEnG_1051	12592	14624	162.2	325
EOG091G09HG	Duplicated	SczhEnG_1051	14725	19076	161.5	325
EOG091G09HG	Duplicated	SczhEnG_3468	50540	53042	157.5	325
EOG091G09HG	Duplicated	SczhEnG_651	4499	8545	140.7	326
EOG091G09HR	Complete	SczhEnG_745	357490	365884	378.8	277
EOG091G09IW	Complete	SczhEnG_512	44729	48215	255.0	346
EOG091G09J7	Complete	SczhEnG_141	22923	32334	401.5	310
EOG091G09KI	Complete	SczhEnG_101	390983	396036	223.3	155
EOG091G09KK	Complete	SczhEnG_1726	327298	336663	428.7	329
EOG091G09KX	Complete	SczhEnG_3381	670844	673517	436.2	347
EOG091G09L6	Complete	SczhEnG_2712	1047919	1056053	176.2	149
EOG091G09MD	Complete	SczhEnG_4231	563423	573682	274.0	195
EOG091G09MU	Complete	SczhEnG_874	331337	341606	369.2	295
EOG091G09O7	Complete	SczhEnG_2522	174689	176746	136.7	306
EOG091G09Q2	Complete	SczhEnG_538	1525771	1532037	345.4	429
EOG091G09QO	Fragmented	SczhEnG_310	144483	146025	129.1	135
EOG091G09R0	Complete	SczhEnG_3533	96499	104792	275.5	218
EOG091G09RJ	Complete	SczhEnG_4006	81709	91460	158.1	211
EOG091G09SS	Missing
EOG091G09T3	Complete	SczhEnG_310	345894	354877	427.8	303
EOG091G09T6	Complete	SczhEnG_2278	115045	123395	306.9	227
EOG091G09U9	Complete	SczhEnG_660	201507	206794	675.4	376
EOG091G09UA	Complete	SczhEnG_1888	3830	11810	381.1	273
EOG091G09UB	Complete	SczhEnG_2375	64873	76563	539.3	394
EOG091G09V2	Complete	SczhEnG_2478	66260	80316	433.7	365
EOG091G09YB	Complete	SczhEnG_3054	375600	383541	302.0	296
EOG091G0A0M	Complete	SczhEnG_3796	237466	242779	507.4	343
EOG091G0A19	Complete	SczhEnG_3054	176228	185065	224.4	393
EOG091G0A27	Complete	SczhEnG_200	49879	54529	277.6	308
EOG091G0A2I	Complete	SczhEnG_2175	204272	211060	551.1	313
EOG091G0A2L	Complete	SczhEnG_2013	549352	555179	145.7	386
EOG091G0A5N	Complete	SczhEnG_2662	102622	115431	649.6	366
EOG091G0A79	Complete	SczhEnG_2825	417969	428164	387.7	311
EOG091G0A98	Complete	SczhEnG_4163	65821	77065	298.1	254
EOG091G0AE2	Missing
EOG091G0AE9	Complete	SczhEnG_4287	236749	243186	437.9	268
EOG091G0AEH	Complete	SczhEnG_2468	57689	65195	249.5	214
EOG091G0AEL	Complete	SczhEnG_1188	148320	159545	445.8	300
EOG091G0AFP	Complete	SczhEnG_2686	33960	39650	351.9	189
EOG091G0AGM	Complete	SczhEnG_3511	199735	201483	300.1	251
EOG091G0AGT	Missing
EOG091G0AHJ	Complete	SczhEnG_3572	70698	77195	528.3	288
EOG091G0AI5	Complete	SczhEnG_1477	46781	56316	475.1	478
EOG091G0AJ6	Complete	SczhEnG_2978	376602	377645	261.8	248
EOG091G0AKM	Complete	SczhEnG_3537	225044	236206	449.6	319
EOG091G0AKW	Complete	SczhEnG_3584	112522	123904	334.5	242
EOG091G0AO6	Missing
EOG091G0AOO	Complete	SczhEnG_1415	454680	461334	445.0	308
EOG091G0AQA	Complete	SczhEnG_3754	60609	63246	411.2	292
EOG091G0ARE	Complete	SczhEnG_403	33280	51754	462.0	423
EOG091G0ARL	Complete	SczhEnG_2351	49381	57784	185.0	190
EOG091G0AU6	Fragmented	SczhEnG_3342	213495	214456	64.7	53
EOG091G0AVA	Complete	SczhEnG_4080	367015	378257	275.5	269
EOG091G0AVP	Complete	SczhEnG_1800	10734	25637	403.7	244
EOG091G0AVW	Missing
EOG091G0AX1	Missing
EOG091G0AYM	Complete	SczhEnG_3050	125191	132119	380.9	280
EOG091G0AZ7	Complete	SczhEnG_4183	38891	40043	90.6	159
EOG091G0AZV	Complete	SczhEnG_1463	239822	248396	218.8	216
EOG091G0B27	Complete	SczhEnG_3863	27636	33506	320.3	209
EOG091G0B2N	Complete	SczhEnG_1812	81001	84749	366.2	224
EOG091G0B9B	Complete	SczhEnG_2530	32470	39763	297.1	258
EOG091G0B9T	Complete	SczhEnG_1047	59451	67622	511.5	283
EOG091G0BAG	Complete	SczhEnG_2193	98484	103270	195.9	118
EOG091G0BAM	Complete	SczhEnG_2278	80478	85844	506.0	248
EOG091G0BBO	Complete	SczhEnG_2324	524252	530797	454.0	334
EOG091G0BCO	Complete	SczhEnG_2145	244829	250488	272.7	221
EOG091G0BDT	Complete	SczhEnG_3538	5477	8060	339.6	203
EOG091G0BED	Complete	SczhEnG_2066	316523	328657	263.0	269
EOG091G0BG4	Complete	SczhEnG_1415	3201	10067	165.7	217
EOG091G0BHP	Complete	SczhEnG_1345	160602	171208	575.8	351
EOG091G0BHV	Complete	SczhEnG_3454	269338	275347	336.4	229
EOG091G0BKI	Complete	SczhEnG_99	807755	813015	222.0	283
EOG091G0BKR	Complete	SczhEnG_4396	235089	236831	445.9	287
EOG091G0BKX	Missing
EOG091G0BKZ	Fragmented	SczhEnG_226	12418	16568	105.0	130
EOG091G0BL9	Complete	SczhEnG_2727	244845	248683	543.3	275
EOG091G0BN4	Complete	SczhEnG_2712	872363	875141	226.9	267
EOG091G0BNI	Complete	SczhEnG_3146	113561	121863	382.2	268
EOG091G0BPU	Complete	SczhEnG_1571	203267	214045	499.7	292
EOG091G0BPX	Complete	SczhEnG_310	551354	556504	306.2	220
EOG091G0BQF	Complete	SczhEnG_4230	142152	147032	319.5	188
EOG091G0BTX	Complete	SczhEnG_3192	320399	331858	438.4	253
EOG091G0BUD	Complete	SczhEnG_3261	51835	67187	164.1	166
EOG091G0BUH	Complete	SczhEnG_862	670926	678275	391.2	244
EOG091G0BWJ	Complete	SczhEnG_2984	14686	22254	75.4	238
EOG091G0BX3	Complete	SczhEnG_2968	95073	104231	143.9	193
EOG091G0C2M	Complete	SczhEnG_603	119756	128406	244.8	315
EOG091G0C2Z	Complete	SczhEnG_3155	468781	472635	304.4	230
EOG091G0C6I	Complete	SczhEnG_2013	380850	392751	231.1	298
EOG091G0C7Y	Complete	SczhEnG_3441	52337	60137	391.7	244
EOG091G0C84	Complete	SczhEnG_2060	42453	49185	424.8	251
EOG091G0C8H	Complete	SczhEnG_1891	129280	136109	399.0	287
EOG091G0C9Y	Complete	SczhEnG_828	618584	629011	320.2	256
EOG091G0CAR	Complete	SczhEnG_2478	80211	86237	476.7	280
EOG091G0CEG	Complete	SczhEnG_3957	159899	167645	230.4	192
EOG091G0CEK	Missing
EOG091G0CEW	Complete	SczhEnG_4033	288077	300518	333.1	245
EOG091G0CF7	Complete	SczhEnG_1249	484873	495117	517.9	287
EOG091G0CFP	Complete	SczhEnG_2278	44984	48380	291.6	218
EOG091G0CGO	Complete	SczhEnG_739	20110	26172	247.3	191
EOG091G0CH6	Complete	SczhEnG_1571	323277	327864	446.3	293
EOG091G0CID	Complete	SczhEnG_78	374195	380115	436.3	308
EOG091G0CLR	Complete	SczhEnG_547	103841	112190	414.1	360
EOG091G0CMN	Missing
EOG091G0CNT	Complete	SczhEnG_3528	61517	68637	373.3	240
EOG091G0COC	Missing
EOG091G0CQ2	Complete	SczhEnG_4111	415	5059	146.1	143
EOG091G0CR4	Complete	SczhEnG_999	240927	247733	405.4	283
EOG091G0CSZ	Complete	SczhEnG_146	114508	123598	255.3	191
EOG091G0CTG	Complete	SczhEnG_3206	434381	440482	350.2	228
EOG091G0CTU	Complete	SczhEnG_2228	262209	268302	255.3	243
EOG091G0CW2	Complete	SczhEnG_386	379588	387792	348.7	260
EOG091G0CXE	Complete	SczhEnG_3928	219111	220962	147.5	177
EOG091G0CZX	Complete	SczhEnG_3680	64858	73828	293.5	195
EOG091G0D04	Complete	SczhEnG_3208	8876	17311	256.6	187
EOG091G0D0D	Missing
EOG091G0D0W	Complete	SczhEnG_3801	55683	66342	118.8	240
EOG091G0D26	Missing
EOG091G0D4N	Complete	SczhEnG_1571	332985	343621	232.2	264
EOG091G0D7V	Complete	SczhEnG_2106	56863	65977	98.4	100
EOG091G0D8I	Complete	SczhEnG_2986	537282	550755	388.5	226
EOG091G0D8N	Missing
EOG091G0DBF	Complete	SczhEnG_4111	41542	48962	593.6	398
EOG091G0DLW	Complete	SczhEnG_1415	244763	256460	152.1	232
EOG091G0DND	Complete	SczhEnG_2740	401376	411064	350.7	330
EOG091G0DPL	Complete	SczhEnG_3138	14925	23764	160.4	140
EOG091G0DQ3	Complete	SczhEnG_4172	362306	371830	202.1	149
EOG091G0DQS	Complete	SczhEnG_2278	86666	91262	427.6	334
EOG091G0DQT	Complete	SczhEnG_293	335522	339205	270.9	201
EOG091G0DRZ	Complete	SczhEnG_2712	1020497	1024179	204.4	169
EOG091G0DTB	Complete	SczhEnG_655	75891	83296	291.1	228
EOG091G0DTD	Complete	SczhEnG_3493	45418	57746	295.3	244
