Spis3477	GO:0008094
Spis16201	GO:0003887, GO:0006281
Spis7666	GO:0005509, GO:0005515
Spis20466	GO:0007165
Spis16202	GO:0005515
Spis7667	GO:0005509, GO:0005515
Spis20467	GO:0003676, GO:0015074
Spis20468	GO:0004842, GO:0005515
Spis16204	GO:0016021
Spis20469	GO:0003676, GO:0015074
Spis16205	GO:0003676, GO:0015074
Spis16206	GO:0005488
Spis11622	GO:0005515, GO:0032947
Spis11624	GO:0006810
Spis5570	GO:0008237, GO:0031012
Spis11625	GO:0005525, GO:0007264
Spis5571	GO:0008237
Spis11626	GO:0005515
Spis5572	GO:0008237, GO:0008270, GO:0031012
Spis11627	GO:0005515, GO:0016311
Spis5573	GO:0006508
Spis5574	GO:0006508
Spis14110	GO:0005515
Spis11629	GO:0003824
Spis5575	GO:0006508
Spis5576	GO:0006508
Spis14112	GO:0008168, GO:0008276, GO:0032259
Spis5577	GO:0003676, GO:0006508
Spis14113	GO:0003677, GO:0006355
Spis14114	GO:0030091, GO:0055114
Spis8060	GO:0016021
Spis14115	GO:0005515, GO:0035091, GO:0055085
Spis14116	GO:0005515
Spis8062	GO:0005515
Spis19582	GO:0008270
Spis8063	GO:0016021
Spis14118	GO:0005515
Spis8064	GO:0005515
Spis19584	GO:0004518
Spis14119	GO:0006412
Spis8065	GO:0006412, GO:0015934
Spis19585	GO:0008270
Spis19586	GO:0003676, GO:0015074
Spis8067	GO:0046983
Spis19587	GO:0004842
Spis8068	GO:0003676
Spis3482	GO:0005515
Spis19589	GO:0003676, GO:0015074
Spis3483	GO:0005515
Spis17901	GO:0003676, GO:0015074
Spis17902	GO:0004518
Spis12020	GO:0007165
Spis3485	GO:0009058, GO:0016788
Spis3486	GO:0016020, GO:0017137
Spis17904	GO:0005515, GO:0055114
Spis12022	GO:0005509
Spis24650	GO:0005515
Spis17905	GO:0015074, GO:0051607
Spis24651	GO:0055114
Spis12024	GO:0006000, GO:0016773
Spis3489	GO:0003824
Spis17907	GO:0003676
Spis17490	GO:0006468
Spis12025	GO:0005488, GO:0005515, GO:0008565
Spis17491	GO:0005524, GO:0006468
Spis12026	GO:0005515, GO:0008081, GO:0035556
Spis24654	GO:0005509
Spis17909	GO:0003676
Spis12027	GO:0046872
Spis24655	GO:0003676
Spis1803	GO:0003676, GO:0005524, GO:0006281, GO:0015074
Spis12029	GO:0005515, GO:0035023
Spis17495	GO:0006412, GO:0016021
Spis24658	GO:0000166, GO:0016021
Spis1807	GO:0070273
Spis1391	GO:0005515
Spis1809	GO:0008168, GO:0016422
Spis15810	GO:0006508
Spis1392	GO:0005515
Spis1393	GO:0016491, GO:0055114
Spis15812	GO:0003676, GO:0015074
Spis1394	GO:0016021, GO:0016192
Spis15813	GO:0003676, GO:0046983
Spis1395	GO:0030915
Spis15814	GO:0051607
Spis1396	GO:0003887, GO:0006281, GO:0016779, GO:0034061
Spis9760	GO:0006508, GO:0008270, GO:0070006
Spis22560	GO:0016021
Spis9761	GO:0006508
Spis15816	GO:0003676, GO:0015074
Spis1398	GO:1901642
Spis9762	GO:0005515
Spis9763	GO:0005515
Spis22563	GO:0005515
Spis9764	GO:0006464, GO:0035556
Spis15819	GO:0003676, GO:0006353
Spis9765	GO:0051726
Spis18301	GO:0003677, GO:0015074
Spis22566	GO:0016020
Spis18302	GO:0003676, GO:0046983
Spis9767	GO:0006606
Spis22567	GO:0016020
Spis18303	GO:0003677, GO:0015074
Spis22569	GO:0005515
Spis640	GO:0004518
Spis25052	GO:0003824, GO:0016787, GO:0016814
Spis18307	GO:0003676
Spis13720	GO:0005515
Spis2201	GO:0003676
Spis18308	GO:0003676
Spis25054	GO:0016020
Spis2202	GO:0005634
Spis643	GO:0070652
Spis25055	GO:0003676, GO:0015074
Spis644	GO:0005852
Spis25056	GO:0003676
Spis13724	GO:0003676
Spis25057	GO:0000350
Spis25058	GO:0016020, GO:0055114
Spis2206	GO:0007165
Spis20471	GO:0004842
Spis7672	GO:0005515
Spis647	GO:0005524, GO:0051082
Spis2207	GO:0055085
Spis7673	GO:0005515
Spis20473	GO:0003676, GO:0015074
Spis7674	GO:0007018, GO:0008017
Spis16210	GO:0016887, GO:0055085
Spis20475	GO:0007165
Spis16211	GO:0005524, GO:0008270
Spis20476	GO:0008152, GO:0008484
Spis16212	GO:0005515
Spis7677	GO:0016021
Spis20477	GO:0008152, GO:0008484, GO:1902751
Spis16213	GO:0016887, GO:0055085
Spis20478	GO:0003676
Spis7679	GO:0036459
Spis20479	GO:0005622
Spis16215	GO:0016887, GO:0055085
Spis16216	GO:0005515, GO:0016021, GO:0035556
Spis16217	GO:0005515
Spis11630	GO:0005515
Spis16218	GO:0016020
Spis11631	GO:0005515
Spis16219	GO:0016459
Spis11633	GO:0005515, GO:0005524, GO:0006468
Spis5580	GO:0046933
Spis11635	GO:0003676
Spis11636	GO:0035091
Spis11637	GO:0005515, GO:0016021
Spis14120	GO:0006457
Spis11639	GO:0005509
Spis14121	GO:0035556
Spis14123	GO:0005509, GO:0005515, GO:0007165
Spis5588	GO:0016021
Spis14124	GO:0005515
Spis5589	GO:0043015
Spis3900	GO:0008452
Spis14125	GO:0005515
Spis3901	GO:0005524
Spis19591	GO:0016787, GO:0070006
Spis14126	GO:0008305
Spis8072	GO:0055114
Spis3902	GO:0016021
Spis14127	GO:0005515
Spis8074	GO:0005515, GO:0046983
Spis3904	GO:0003676
Spis19594	GO:0055114
Spis14129	GO:0016021
Spis8075	GO:0005515
Spis19595	GO:0005509
Spis8076	GO:0007018, GO:0008017
Spis3906	GO:0003676, GO:0015074
Spis19596	GO:0003676
Spis8077	GO:0016021
Spis3490	GO:0016020
Spis19597	GO:0003676
Spis8078	GO:0005201, GO:0005509
Spis3908	GO:0006520, GO:0016787
Spis3491	GO:0000166, GO:0003677, GO:0008094
Spis19598	GO:0005509, GO:0005578
Spis8079	GO:0005201, GO:0005515
Spis17910	GO:0003676
Spis3493	GO:0005515
Spis17911	GO:0003676
Spis12031	GO:0006281
Spis17914	GO:0005525
Spis3497	GO:0003677
Spis17915	GO:0003676, GO:0015074
Spis3498	GO:0003676
Spis24661	GO:0004518
Spis17916	GO:0005515, GO:0008270
Spis1810	GO:0005488
Spis17917	GO:0003676, GO:0005515
Spis12035	GO:0003676, GO:0008270
Spis24663	GO:0005524, GO:0006464
Spis1811	GO:0015031
Spis17918	GO:0003676
Spis12036	GO:0006893
Spis1812	GO:0005488
Spis17919	GO:0003676, GO:0015074
Spis12037	GO:0004386
Spis24665	GO:0005509
Spis1813	GO:0008033, GO:0030677
Spis12038	GO:0003676, GO:0004386, GO:0005524
Spis24666	GO:0042578
Spis1814	GO:0034477
Spis12039	GO:0005515
Spis1816	GO:0003677, GO:0003824, GO:0004518, GO:0006281, GO:0016788
Spis24669	GO:0008234
Spis1817	GO:0006397, GO:0046540
Spis4300	GO:0005515, GO:0006468
Spis15820	GO:0008270
Spis4301	GO:0005515, GO:0006468
Spis4304	GO:0016020
Spis9770	GO:0007186, GO:0016021
Spis4305	GO:0016020
Spis9771	GO:0006508, GO:0008237, GO:0008270, GO:0016020
Spis4306	GO:0005515
Spis22571	GO:0003676, GO:0015074
Spis9772	GO:0005515
Spis9773	GO:0016602, GO:0046982
Spis22573	GO:0003676
Spis9774	GO:0006508, GO:0008237, GO:0008270, GO:0016020
Spis22574	GO:0005509, GO:0005578
Spis9775	GO:0005515, GO:0008270
Spis22575	GO:0004518, GO:0008270
Spis9776	GO:0005515, GO:0008270
Spis22576	GO:0003676
Spis18313	GO:0003676, GO:0006313, GO:0015074
Spis9778	GO:0005515, GO:0061630
Spis22578	GO:0004518
Spis9779	GO:0005515, GO:0008270
Spis25060	GO:0016020
Spis22579	GO:0005509
Spis18315	GO:0004842
Spis18316	GO:0005515, GO:0044458
Spis18317	GO:0035556
Spis2211	GO:0003824, GO:0005515, GO:0098655
Spis18318	GO:0005515, GO:0044458
Spis13731	GO:0006412
Spis652	GO:0016021
Spis25064	GO:0006281
Spis2212	GO:0006412
Spis18319	GO:0005524
Spis13732	GO:0008138, GO:0016311, GO:0016791, GO:0017017
Spis653	GO:0005515
Spis25065	GO:0006556, GO:0016810, GO:0042158
Spis2213	GO:0055114
Spis13733	GO:0006000
Spis25066	GO:0050660, GO:0055114
Spis2214	GO:0020037
Spis13734	GO:0032580
Spis7680	GO:0005524, GO:0006468
Spis25067	GO:0015833, GO:0016020, GO:0016887
Spis20480	GO:0005515
Spis13735	GO:0016021
Spis25068	GO:0016020
Spis2216	GO:0005515, GO:0051260
Spis13736	GO:0016021
Spis657	GO:0005488
Spis7683	GO:0051607
Spis658	GO:0003676, GO:0015074
Spis20483	GO:0005515, GO:0030071
Spis2219	GO:0005515, GO:0008270, GO:0042981, GO:0046330
Spis20484	GO:0005201
Spis16220	GO:0004518
Spis13739	GO:0003950
Spis7685	GO:0005515, GO:0016020
Spis20485	GO:0051607
Spis16221	GO:0016534
Spis7686	GO:0005509
Spis20487	GO:0005515, GO:0006470, GO:0016311, GO:0016791
Spis7688	GO:0003676, GO:0006303
Spis20488	GO:0005515
Spis16224	GO:0005525, GO:0007264
Spis7689	GO:0003676
Spis16225	GO:0005525, GO:0007264
Spis16226	GO:0005515
Spis11640	GO:0017119
Spis16228	GO:0007186, GO:0016021
Spis11641	GO:0016787
Spis11643	GO:0005515
Spis11644	GO:0043001
Spis5590	GO:0005515, GO:0016021
Spis5591	GO:0005515
Spis5592	GO:0003677, GO:0043565
Spis11647	GO:0005515, GO:0005524
Spis11648	GO:0005515, GO:0005524
Spis14130	GO:0008305
Spis11649	GO:0005524
Spis14131	GO:0008305
Spis14132	GO:0008305
Spis5597	GO:0006468
Spis14133	GO:0004386, GO:0005524
Spis5598	GO:0005515
Spis14134	GO:0005525
Spis8080	GO:0008168
Spis5599	GO:0008270
Spis14135	GO:0005515, GO:0030246
Spis8081	GO:0003824, GO:0005515, GO:0051536
Spis8083	GO:0035385
Spis8084	GO:0003676, GO:0005639, GO:1902531
Spis8088	GO:0003824
Spis8089	GO:0006468, GO:0007165, GO:0007264
Spis6401	GO:0005515
Spis6402	GO:0005515
Spis12041	GO:0005515, GO:0006886
Spis12042	GO:0003676, GO:0006508, GO:0008270, GO:0015074
Spis6405	GO:0005515, GO:0016020
Spis24670	GO:0003676
Spis17925	GO:0003676, GO:0003723, GO:0051607
Spis6406	GO:0016021
Spis24671	GO:0004518, GO:0008234
Spis12044	GO:0003676
Spis6407	GO:0008138, GO:0016311, GO:0016791
Spis24672	GO:0003676
Spis1820	GO:0005488, GO:0005515
Spis24673	GO:0005515
Spis1821	GO:0016021
Spis12046	GO:0003676
Spis6409	GO:0005524, GO:0006468, GO:0008152, GO:0008484
Spis24674	GO:0007186, GO:0016021
Spis1822	GO:0000975, GO:0005515, GO:0006355
Spis17929	GO:0003676, GO:0003723
Spis12047	GO:0006355
Spis1823	GO:0008138, GO:0016311, GO:0016791
Spis12048	GO:0007186, GO:0016021
Spis1824	GO:0005515, GO:0016020
Spis12049	GO:0007186, GO:0016021
Spis24677	GO:0005515, GO:0008270, GO:0016567
Spis1826	GO:0007018
Spis24679	GO:0007264
Spis1828	GO:0055085
Spis4310	GO:0000166, GO:0016021
Spis1829	GO:0004518, GO:0008270
Spis15831	GO:0005515
Spis15832	GO:0046872
Spis15833	GO:0006886
Spis15834	GO:0005515
Spis9780	GO:0015934
Spis15835	GO:0005515, GO:0007018, GO:0008017, GO:0035091
Spis22581	GO:0003676
Spis22582	GO:0005515
Spis15837	GO:0003676, GO:0015074
Spis9783	GO:0055085
Spis4318	GO:0046983
Spis22583	GO:0005515
Spis15838	GO:0009890
Spis9784	GO:0071203
Spis4319	GO:0006355, GO:0046983
Spis9785	GO:0051011
Spis18321	GO:0003676
Spis9786	GO:0016020
Spis18322	GO:0003676
Spis9787	GO:0016020
Spis22587	GO:0008270
Spis18323	GO:0051082
Spis9788	GO:0016020
Spis18324	GO:0003676, GO:0003723, GO:0003950, GO:0006471, GO:0008270
Spis20900	GO:0016021, GO:0055085
Spis18325	GO:0005509, GO:0016021
Spis25071	GO:0005524, GO:0006468
Spis20901	GO:0005201, GO:0008233
Spis18326	GO:0005509
Spis2220	GO:0005515, GO:0008270, GO:0042981, GO:0046330
Spis18327	GO:0060828
Spis2221	GO:0005515, GO:0008270, GO:0042981, GO:0046330
Spis20903	GO:0009116
Spis662	GO:0003723, GO:0006412, GO:0015935
Spis25074	GO:0008168
Spis2222	GO:0006635, GO:0055114
Spis18329	GO:0003676, GO:0005509, GO:0015074
Spis2223	GO:0005515, GO:0008270, GO:0046330
Spis20905	GO:0006468
Spis25076	GO:0006096, GO:0006298, GO:0030983
Spis2224	GO:0006635, GO:0055114
Spis20906	GO:0005515, GO:0006470
Spis7690	GO:0005488, GO:0051010
Spis665	GO:0005515, GO:0006364
Spis25077	GO:0003824, GO:0008829, GO:0016765, GO:0019277
Spis2225	GO:0016491
Spis20907	GO:0003676
Spis20490	GO:0005515
Spis13745	GO:0006508
Spis25078	GO:0055114, GO:0071949
Spis2226	GO:0005509
Spis20491	GO:0005515
Spis13746	GO:0006508
Spis7692	GO:0005488, GO:0051010
Spis2227	GO:0005515, GO:0016459
Spis13747	GO:0006508
Spis7693	GO:0006414
Spis668	GO:0003676
Spis13748	GO:0006508
Spis2229	GO:0032580
Spis16230	GO:0005524, GO:0006468
Spis13749	GO:0006508
Spis7695	GO:0032580
Spis16231	GO:0005524, GO:0006468
Spis7696	GO:0008023
Spis20497	GO:0003676, GO:0008270, GO:0015074
Spis16233	GO:0007165
Spis20498	GO:0016020
Spis16234	GO:0055085
Spis20499	GO:0030246
Spis16235	GO:0055085
Spis11650	GO:0005515
Spis16238	GO:0005515
Spis11651	GO:0005525
Spis16239	GO:0005515
Spis11653	GO:0005515
Spis11654	GO:0005488
Spis11656	GO:0005515
Spis8500	GO:0016021
Spis8501	GO:0016021
Spis11658	GO:0016787
Spis8502	GO:0005515
Spis21302	GO:0005515
Spis11659	GO:0016787
Spis14140	GO:0003676, GO:0006353, GO:0015074
Spis8503	GO:1990879
Spis8504	GO:0008270, GO:0055085
Spis21304	GO:0004842
Spis14143	GO:0005515
Spis8506	GO:0005515
Spis8090	GO:0055085
Spis3920	GO:0030127
Spis8091	GO:0006468, GO:0007165, GO:0007264
Spis21308	GO:0005515
Spis14146	GO:0003824, GO:0005515, GO:0006468, GO:0016020, GO:0016021, GO:0055114
Spis3922	GO:0005524, GO:0006468
Spis14147	GO:0005515, GO:0006468, GO:0016020, GO:0016021
Spis8093	GO:0003676, GO:0008897
Spis14148	GO:0003677, GO:0015074
Spis8094	GO:0016491
Spis3924	GO:0055114
Spis8095	GO:0016021
Spis8096	GO:0005524, GO:0006468
Spis3926	GO:0005515
Spis8097	GO:0008270
Spis3927	GO:0016311
Spis3928	GO:0006355, GO:0008270
Spis8099	GO:0003676
Spis6410	GO:0003676, GO:1904247
Spis3929	GO:0005515, GO:0006355
Spis17930	GO:0005524, GO:0006281
Spis6411	GO:0000062, GO:0005515
Spis17931	GO:0003676, GO:0003723
Spis6412	GO:0005515, GO:0005930, GO:0007018, GO:0030286
Spis17932	GO:0005524, GO:0006281
Spis12050	GO:0016021
Spis6413	GO:0005515
Spis12051	GO:0003824, GO:0016787
Spis12052	GO:0016787, GO:0050709
Spis6415	GO:0005515, GO:0005524, GO:0006468, GO:0016459, GO:0035556
Spis24680	GO:0006468
Spis17935	GO:0016021
Spis6416	GO:0005488, GO:0016020
Spis17936	GO:0016021
Spis12054	GO:0003676, GO:0015074
Spis6417	GO:0003676, GO:0005515
Spis24682	GO:0003968, GO:0016787
Spis1830	GO:0007165
Spis17937	GO:0016021
Spis24683	GO:0007165
Spis12056	GO:0010181, GO:0055114
Spis1832	GO:0003676
Spis17939	GO:0005515
Spis12057	GO:0005509
Spis24685	GO:0005201
Spis12059	GO:0005524, GO:0055114
Spis24687	GO:0003676
Spis1835	GO:0005737
Spis24688	GO:0003676, GO:0015074
Spis24689	GO:0007264
Spis1838	GO:0005515, GO:0016787, GO:0046872
Spis4320	GO:0006355, GO:0046983
Spis1839	GO:0055085
Spis15840	GO:0008138, GO:0016311, GO:0016791
Spis4321	GO:0006355, GO:0046983
Spis4322	GO:0046983
Spis15842	GO:0008063
Spis4323	GO:0004842
Spis4324	GO:0070588
Spis15844	GO:0003676, GO:0015074
Spis9790	GO:0016020
Spis15845	GO:0003676, GO:0006353
Spis9791	GO:0016020
Spis22591	GO:0005515, GO:0042981
Spis4327	GO:0070694
Spis22592	GO:0003676
Spis9793	GO:0005576
Spis4328	GO:0016491, GO:0055114
Spis22593	GO:0003676, GO:0005515, GO:0042981
Spis15848	GO:0051607
Spis9794	GO:0005515
Spis22594	GO:0005515, GO:0042981
Spis9795	GO:0005515
Spis22595	GO:0005525
Spis18331	GO:0005515
Spis9796	GO:0042157
Spis22596	GO:0003676
Spis18332	GO:0005509
Spis9797	GO:0042157
Spis9798	GO:0042157
Spis9799	GO:0005515, GO:0005838
Spis22599	GO:0003676
Spis20910	GO:0003676
Spis18335	GO:0005515
Spis20911	GO:0005524, GO:0006468
Spis670	GO:0046983
Spis2230	GO:0005488
Spis20912	GO:0005515
Spis18337	GO:0005515
Spis13750	GO:0006508
Spis25083	GO:0004518
Spis20913	GO:0048193, GO:0055114
Spis25084	GO:0032328, GO:0055114
Spis2232	GO:0003676, GO:0015074
Spis20914	GO:0005488, GO:0031932
Spis673	GO:0005515, GO:0007264, GO:0035023, GO:0046578
Spis2233	GO:0098655
Spis20915	GO:0005515
Spis13753	GO:0016020
Spis25086	GO:0005515
Spis20916	GO:0003676, GO:0015074
Spis13754	GO:0016021
Spis25087	GO:0008168
Spis13755	GO:0004518, GO:0008270
Spis2236	GO:0006810, GO:0046872
Spis23400	GO:0006468
Spis2237	GO:0006355
Spis20919	GO:0005515, GO:0016021
Spis13757	GO:0005515, GO:0016021
Spis23401	GO:0005524, GO:0006468
Spis2238	GO:0006355
Spis13758	GO:0016021
Spis23402	GO:0005515
Spis23403	GO:0016021
Spis23404	GO:0016021
Spis16242	GO:0005525
Spis23405	GO:0005515, GO:0042981
Spis23406	GO:0005515, GO:0009897
Spis16246	GO:0008146
Spis16247	GO:0005515
Spis11660	GO:0003676, GO:0015074
Spis16248	GO:0005515
Spis16249	GO:0016021
Spis21312	GO:0016311, GO:0016791
Spis8513	GO:0055085
Spis21313	GO:0005509
Spis14151	GO:0008270
Spis8514	GO:0016020, GO:0016021
Spis21314	GO:0005509
Spis14152	GO:0003676, GO:0046983
Spis8515	GO:0016020, GO:0016627, GO:0045281
Spis21315	GO:0005509, GO:0055114
Spis14153	GO:0004518, GO:0008270
Spis14154	GO:0003676, GO:0015074
Spis8517	GO:0016787
Spis14155	GO:0003677, GO:0015074
Spis3931	GO:0003677, GO:0005515, GO:0015074
Spis8519	GO:0016485
Spis3932	GO:0008270, GO:0043565
Spis21319	GO:0003676, GO:0015074
Spis14159	GO:0008152, GO:0019674
Spis3937	GO:0003676, GO:0005488
Spis6420	GO:0007010
Spis3939	GO:0005515
Spis6421	GO:0006886
Spis6422	GO:0005515, GO:0006355, GO:0046983
Spis17942	GO:0005515, GO:0006470, GO:0016311, GO:0016791
Spis12060	GO:0005524
Spis6423	GO:0008270
Spis6424	GO:0005515, GO:0008270
Spis17944	GO:0005524
Spis12062	GO:0006355
Spis6425	GO:0005515, GO:0008270
Spis17945	GO:0005524, GO:0007165
Spis12063	GO:0005515, GO:0018024
Spis17946	GO:0005524
Spis6427	GO:0005515
Spis17947	GO:0003676, GO:0003677, GO:0015074
Spis6428	GO:0035556
Spis17948	GO:0005524
Spis6429	GO:0004491, GO:0055114
Spis1842	GO:0007186, GO:0016021
Spis12067	GO:0005524, GO:0051082
Spis1843	GO:0042765
Spis12068	GO:0005515
Spis24696	GO:0003676
Spis1844	GO:0020037
Spis12069	GO:0005515
Spis24697	GO:0006508
Spis1845	GO:0003676, GO:0003677, GO:0008152, GO:0008484, GO:0015074
Spis1847	GO:0006378, GO:0008152, GO:0008484
Spis4331	GO:0003676
Spis4332	GO:0042981
Spis4333	GO:0042981
Spis4334	GO:0006508
Spis15854	GO:0016021
Spis4335	GO:0005515
Spis15855	GO:0016021, GO:0055085
Spis4336	GO:0005515, GO:0007165
Spis25500	GO:0006275, GO:0043565
Spis15857	GO:0016021
Spis25501	GO:0006096
Spis25502	GO:0005515
Spis25504	GO:0008080
Spis25090	GO:0006810
Spis25091	GO:0006418, GO:0006438
Spis680	GO:0003676, GO:0003677, GO:0006355, GO:0015074, GO:0043565
Spis13760	GO:0003676, GO:0003677, GO:0006313
Spis681	GO:0003677, GO:0006355, GO:0043565
Spis20924	GO:0042030
Spis683	GO:0003676, GO:0015074
Spis25095	GO:0006351
Spis2243	GO:0004518, GO:0008270
Spis20925	GO:0005515
Spis13763	GO:0016021
Spis25096	GO:0055114
Spis13764	GO:0007186, GO:0016021
Spis20927	GO:0007165
Spis2246	GO:0005515
Spis13766	GO:0008270
Spis25099	GO:0006468, GO:0016020
Spis2247	GO:0005524, GO:0016818
Spis20929	GO:0005515
Spis13767	GO:0005515
Spis23411	GO:0005515, GO:0016021
Spis23412	GO:0003950
Spis16250	GO:0005515
Spis13769	GO:0005515
Spis23413	GO:0003950
Spis23414	GO:0016020, GO:0016021
Spis23416	GO:0003677, GO:0005515, GO:0015074
Spis16254	GO:0008083
Spis23417	GO:0005509
Spis16255	GO:0005515, GO:0055085
Spis23418	GO:0005507, GO:0055114
Spis16256	GO:0046983
Spis16257	GO:0016021
Spis16258	GO:0016021, GO:0016846
Spis11671	GO:0005509, GO:0005578
Spis16259	GO:0016846
Spis11672	GO:0006281, GO:0006284, GO:0008534
Spis11673	GO:0006241, GO:0045454
Spis11676	GO:0030144
Spis8520	GO:0008094, GO:0033063
Spis21320	GO:0005515, GO:0008270, GO:0042981, GO:0046330
Spis11677	GO:0006163
Spis8521	GO:0005515
Spis21321	GO:0004518
Spis21322	GO:0003676
Spis11679	GO:0004842
Spis8523	GO:0016021
Spis14162	GO:0016021
Spis8525	GO:0003677, GO:0003887, GO:0006260, GO:0006270
Spis21325	GO:0003824
Spis14163	GO:0055114
Spis8526	GO:0005509
Spis21326	GO:0030170
Spis14164	GO:0016020, GO:0016887
Spis8527	GO:0005509
Spis3940	GO:0007165
Spis21327	GO:0030170
Spis14165	GO:0016020, GO:0016887
Spis8528	GO:0003676, GO:0003677, GO:0003887, GO:0006270, GO:0008408
Spis3941	GO:0032039
Spis21328	GO:0030170
Spis14166	GO:0005515
Spis8529	GO:0005515
Spis21329	GO:0030170
Spis14167	GO:0003824, GO:0016841
Spis14168	GO:0003824, GO:0016841
Spis3944	GO:0016020
Spis14169	GO:0016153
Spis6430	GO:0070176
Spis3949	GO:0005509, GO:0005515
Spis17950	GO:0006508
Spis17951	GO:0003676, GO:0015074
Spis6432	GO:0016021
Spis12070	GO:0003676, GO:0003677
Spis6433	GO:0003676
Spis17953	GO:0005515
Spis12071	GO:0005515
Spis17954	GO:0005515, GO:0016020
Spis12072	GO:0055114, GO:0070988
Spis6436	GO:0005975, GO:0030246
Spis17956	GO:0016020
Spis12074	GO:0055114
Spis6437	GO:0016042
Spis17957	GO:0016020
Spis6438	GO:0004871, GO:0005509, GO:0008081, GO:0035556
Spis12076	GO:0008270
Spis17959	GO:0016780
Spis12078	GO:0006468, GO:0008270
Spis1854	GO:0008152
Spis12079	GO:0005524
Spis1855	GO:0003677, GO:0043565
Spis1859	GO:0005509, GO:0008152
Spis15860	GO:0035091
Spis4341	GO:0005515
Spis4342	GO:0005515, GO:0006508, GO:0008237, GO:0008270
Spis15862	GO:0005762
Spis4345	GO:0005515
Spis4346	GO:0007018, GO:0008017
Spis4347	GO:0005488, GO:0006468
Spis25510	GO:0006508
Spis4348	GO:0005515
Spis25511	GO:0005524, GO:0006265
Spis25512	GO:0051607
Spis15869	GO:0005509
Spis25513	GO:0006364
Spis18351	GO:0070701
Spis25517	GO:0006468
Spis20930	GO:0016021
Spis25518	GO:0006265
Spis2250	GO:0005509, GO:0005515
Spis20932	GO:0005515, GO:0006541
Spis13770	GO:0016887, GO:0055085
Spis691	GO:0003676, GO:0008408
Spis2251	GO:0005525
Spis20933	GO:1990423
Spis692	GO:0003676
Spis2252	GO:0046907
Spis13772	GO:0016887, GO:0055085, GO:0055114
Spis2253	GO:0005515, GO:0010181, GO:0050661, GO:0055114
Spis20935	GO:0005509
Spis13773	GO:0005515
Spis694	GO:0003676
Spis2254	GO:0008270, GO:0035608
Spis20936	GO:0004842
Spis13774	GO:0016887, GO:0055085
Spis695	GO:0008270
Spis2255	GO:0003676, GO:0003677, GO:0006313
Spis13775	GO:0005515
Spis696	GO:0003676, GO:0015074, GO:0035556
Spis2256	GO:0005515
Spis20938	GO:0005509
Spis2257	GO:0003676
Spis13777	GO:0005515
Spis698	GO:0003676
Spis2258	GO:0005515
Spis13778	GO:0008289
Spis699	GO:0016757
Spis13779	GO:0000228, GO:0005515
Spis23423	GO:0005515, GO:0055114
Spis16261	GO:0005515, GO:0005524
Spis16262	GO:0006810, GO:0016021
